Country,Year,Gender ratio,Education level,Percentage women
Northern America,2010,1.02,Ratio of girls to boys in upper secondary education,19.0
Northern America,2015,1.0,Ratio of girls to boys in primary education,21.8
Northern America,2015,1.01,Ratio of girls to boys in secondary education,21.8
Northern America,2015,1.02,Ratio of girls to boys in upper secondary education,21.8
Northern America,2018,1.0,Ratio of girls to boys in primary education,22.8
Northern America,2018,0.99,Ratio of girls to boys in secondary education,22.8
Northern America,2018,0.99,Ratio of girls to boys in upper secondary education,22.8
Northern America,2019,1.01,Ratio of girls to boys in primary education,25.0
Northern America,2019,0.99,Ratio of girls to boys in secondary education,25.0
Northern America,2019,0.98,Ratio of girls to boys in upper secondary education,25.0
Northern America,2020,1.01,Ratio of girls to boys in primary education,25.9
Northern America,2020,0.99,Ratio of girls to boys in secondary education,25.9
Northern America,2020,0.98,Ratio of girls to boys in upper secondary education,25.9
Latin America & the Caribbean,2005,0.97,Ratio of girls to boys in primary education,19.0
Latin America & the Caribbean,2005,1.07,Ratio of girls to boys in secondary education,19.0
Latin America & the Caribbean,2005,1.12,Ratio of girls to boys in upper secondary education,19.0
Latin America & the Caribbean,2010,0.97,Ratio of girls to boys in primary education,22.7
Latin America & the Caribbean,2010,1.08,Ratio of girls to boys in secondary education,22.7
Latin America & the Caribbean,2010,1.16,Ratio of girls to boys in upper secondary education,22.7
Latin America & the Caribbean,2015,0.98,Ratio of girls to boys in primary education,27.4
Latin America & the Caribbean,2015,1.05,Ratio of girls to boys in secondary education,27.4
Latin America & the Caribbean,2015,1.11,Ratio of girls to boys in upper secondary education,27.4
Latin America & the Caribbean,2018,0.99,Ratio of girls to boys in primary education,29.5
Latin America & the Caribbean,2018,1.04,Ratio of girls to boys in secondary education,29.5
Latin America & the Caribbean,2018,1.1,Ratio of girls to boys in upper secondary education,29.5
Latin America & the Caribbean,2019,0.98,Ratio of girls to boys in primary education,31.6
Latin America & the Caribbean,2019,1.05,Ratio of girls to boys in secondary education,31.6
Latin America & the Caribbean,2019,1.1,Ratio of girls to boys in upper secondary education,31.6
Latin America & the Caribbean,2020,0.99,Ratio of girls to boys in primary education,32.1
Latin America & the Caribbean,2020,1.05,Ratio of girls to boys in secondary education,32.1
Latin America & the Caribbean,2020,1.09,Ratio of girls to boys in upper secondary education,32.1
Central Asia,2005,0.99,Ratio of girls to boys in primary education,11.6
Central Asia,2005,0.96,Ratio of girls to boys in secondary education,11.6
Central Asia,2005,0.98,Ratio of girls to boys in upper secondary education,11.6
Central Asia,2010,0.99,Ratio of girls to boys in primary education,20.0
Central Asia,2010,0.98,Ratio of girls to boys in secondary education,20.0
Central Asia,2010,1.0,Ratio of girls to boys in upper secondary education,20.0
Central Asia,2015,0.99,Ratio of girls to boys in primary education,21.8
Central Asia,2015,0.99,Ratio of girls to boys in secondary education,21.8
Central Asia,2015,1.01,Ratio of girls to boys in upper secondary education,21.8
Central Asia,2018,0.99,Ratio of girls to boys in primary education,21.3
Central Asia,2018,0.98,Ratio of girls to boys in secondary education,21.3
Central Asia,2018,0.98,Ratio of girls to boys in upper secondary education,21.3
Central Asia,2019,0.99,Ratio of girls to boys in primary education,21.1
Central Asia,2019,0.99,Ratio of girls to boys in secondary education,21.1
Central Asia,2019,1.0,Ratio of girls to boys in upper secondary education,21.1
Central Asia,2020,0.99,Ratio of girls to boys in primary education,25.4
Central Asia,2020,0.98,Ratio of girls to boys in secondary education,25.4
Central Asia,2020,0.98,Ratio of girls to boys in upper secondary education,25.4
Eastern Asia,2005,1.0,Ratio of girls to boys in primary education,18.1
Eastern Asia,2005,0.98,Ratio of girls to boys in secondary education,18.1
Eastern Asia,2005,0.98,Ratio of girls to boys in upper secondary education,18.1
Eastern Asia,2010,0.98,Ratio of girls to boys in primary education,18.7
Eastern Asia,2010,1.0,Ratio of girls to boys in secondary education,18.7
Eastern Asia,2010,0.99,Ratio of girls to boys in upper secondary education,18.7
Eastern Asia,2015,1.0,Ratio of girls to boys in primary education,20.4
Eastern Asia,2015,1.02,Ratio of girls to boys in secondary education,20.4
Eastern Asia,2015,1.04,Ratio of girls to boys in upper secondary education,20.4
Eastern Asia,2018,1.01,Ratio of girls to boys in primary education,20.9
Eastern Asia,2018,1.02,Ratio of girls to boys in secondary education,20.9
Eastern Asia,2018,1.04,Ratio of girls to boys in upper secondary education,20.9
Eastern Asia,2019,1.01,Ratio of girls to boys in primary education,21.4
Eastern Asia,2019,1.02,Ratio of girls to boys in secondary education,21.4
Eastern Asia,2019,1.03,Ratio of girls to boys in upper secondary education,21.4
Eastern Asia,2020,1.01,Ratio of girls to boys in primary education,21.6
Eastern Asia,2020,1.02,Ratio of girls to boys in secondary education,21.6
Eastern Asia,2020,1.03,Ratio of girls to boys in upper secondary education,21.6
South-eastern Asia,2005,0.97,Ratio of girls to boys in primary education,15.5
South-eastern Asia,2005,1.0,Ratio of girls to boys in secondary education,15.5
South-eastern Asia,2005,0.98,Ratio of girls to boys in upper secondary education,15.5
South-eastern Asia,2010,1.0,Ratio of girls to boys in primary education,19.3
South-eastern Asia,2010,1.01,Ratio of girls to boys in secondary education,19.3
South-eastern Asia,2010,0.98,Ratio of girls to boys in upper secondary education,19.3
South-eastern Asia,2015,0.97,Ratio of girls to boys in primary education,17.8
South-eastern Asia,2015,1.01,Ratio of girls to boys in secondary education,17.8
South-eastern Asia,2015,0.97,Ratio of girls to boys in upper secondary education,17.8
South-eastern Asia,2018,0.98,Ratio of girls to boys in primary education,19.1
South-eastern Asia,2018,1.03,Ratio of girls to boys in secondary education,19.1
South-eastern Asia,2018,1.05,Ratio of girls to boys in upper secondary education,19.1
South-eastern Asia,2019,0.98,Ratio of girls to boys in primary education,19.6
South-eastern Asia,2019,1.03,Ratio of girls to boys in secondary education,19.6
South-eastern Asia,2019,1.05,Ratio of girls to boys in upper secondary education,19.6
South-eastern Asia,2020,0.98,Ratio of girls to boys in primary education,20.4
South-eastern Asia,2020,1.03,Ratio of girls to boys in secondary education,20.4
South-eastern Asia,2020,1.05,Ratio of girls to boys in upper secondary education,20.4
Southern Asia,2005,0.96,Ratio of girls to boys in primary education,8.8
Southern Asia,2005,0.86,Ratio of girls to boys in secondary education,8.8
Southern Asia,2005,0.81,Ratio of girls to boys in upper secondary education,8.8
Southern Asia,2010,1.0,Ratio of girls to boys in primary education,18.2
Southern Asia,2010,0.93,Ratio of girls to boys in secondary education,18.2
Southern Asia,2010,0.9,Ratio of girls to boys in upper secondary education,18.2
Southern Asia,2015,1.06,Ratio of girls to boys in primary education,17.6
Southern Asia,2015,1.0,Ratio of girls to boys in secondary education,17.6
Southern Asia,2015,0.95,Ratio of girls to boys in upper secondary education,17.6
Southern Asia,2018,0.99,Ratio of girls to boys in primary education,13.9
Southern Asia,2018,1.0,Ratio of girls to boys in secondary education,13.9
Southern Asia,2018,0.97,Ratio of girls to boys in upper secondary education,13.9
Southern Asia,2019,0.99,Ratio of girls to boys in primary education,15.8
Southern Asia,2019,1.01,Ratio of girls to boys in secondary education,15.8
Southern Asia,2019,0.98,Ratio of girls to boys in upper secondary education,15.8
Southern Asia,2020,1.0,Ratio of girls to boys in primary education,17.3
Southern Asia,2020,0.99,Ratio of girls to boys in secondary education,17.3
Southern Asia,2020,0.95,Ratio of girls to boys in upper secondary education,17.3
Western Asia,2005,0.91,Ratio of girls to boys in primary education,5.7
Western Asia,2005,0.86,Ratio of girls to boys in secondary education,5.7
Western Asia,2005,0.84,Ratio of girls to boys in upper secondary education,5.7
Western Asia,2010,0.93,Ratio of girls to boys in primary education,9.3
Western Asia,2010,0.91,Ratio of girls to boys in secondary education,9.3
Western Asia,2010,0.9,Ratio of girls to boys in upper secondary education,9.3
Western Asia,2015,0.94,Ratio of girls to boys in primary education,12.8
Western Asia,2015,0.94,Ratio of girls to boys in secondary education,12.8
Western Asia,2015,0.93,Ratio of girls to boys in upper secondary education,12.8
Western Asia,2018,0.94,Ratio of girls to boys in primary education,14.3
Western Asia,2018,0.94,Ratio of girls to boys in secondary education,14.3
Western Asia,2018,0.93,Ratio of girls to boys in upper secondary education,14.3
Western Asia,2019,0.94,Ratio of girls to boys in primary education,15.3
Western Asia,2019,0.92,Ratio of girls to boys in secondary education,15.3
Western Asia,2019,0.9,Ratio of girls to boys in upper secondary education,15.3
Western Asia,2020,0.94,Ratio of girls to boys in primary education,15.6
Western Asia,2020,0.93,Ratio of girls to boys in secondary education,15.6
Western Asia,2020,0.91,Ratio of girls to boys in upper secondary education,15.6
Europe,2005,0.99,Ratio of girls to boys in primary education,20.5
Europe,2005,1.0,Ratio of girls to boys in secondary education,20.5
Europe,2005,1.01,Ratio of girls to boys in upper secondary education,20.5
Europe,2010,0.99,Ratio of girls to boys in primary education,23.2
Europe,2010,0.99,Ratio of girls to boys in secondary education,23.2
Europe,2010,0.99,Ratio of girls to boys in upper secondary education,23.2
Europe,2015,1.0,Ratio of girls to boys in primary education,26.7
Europe,2015,1.0,Ratio of girls to boys in secondary education,26.7
Europe,2015,1.0,Ratio of girls to boys in upper secondary education,26.7
Europe,2018,1.0,Ratio of girls to boys in primary education,28.9
Europe,2018,0.99,Ratio of girls to boys in secondary education,28.9
Europe,2018,1.0,Ratio of girls to boys in upper secondary education,28.9
Europe,2019,1.0,Ratio of girls to boys in primary education,29.8
Europe,2019,1.0,Ratio of girls to boys in secondary education,29.8
Europe,2019,1.0,Ratio of girls to boys in upper secondary education,29.8
Europe,2020,1.0,Ratio of girls to boys in primary education,31.4
Europe,2020,1.0,Ratio of girls to boys in secondary education,31.4
Europe,2020,1.0,Ratio of girls to boys in upper secondary education,31.4
Oceania,2005,0.98,Ratio of girls to boys in primary education,11.2
Oceania,2005,0.97,Ratio of girls to boys in secondary education,11.2
Oceania,2005,0.95,Ratio of girls to boys in upper secondary education,11.2
Oceania,2010,0.97,Ratio of girls to boys in primary education,13.2
Oceania,2010,0.93,Ratio of girls to boys in secondary education,13.2
Oceania,2010,0.92,Ratio of girls to boys in upper secondary education,13.2
Oceania,2015,0.97,Ratio of girls to boys in primary education,13.2
Oceania,2015,0.89,Ratio of girls to boys in secondary education,13.2
Oceania,2015,0.88,Ratio of girls to boys in upper secondary education,13.2
Oceania,2018,0.98,Ratio of girls to boys in primary education,15.5
Oceania,2018,0.94,Ratio of girls to boys in secondary education,15.5
Oceania,2018,0.99,Ratio of girls to boys in upper secondary education,15.5
Oceania,2019,0.97,Ratio of girls to boys in primary education,16.3
Oceania,2019,0.94,Ratio of girls to boys in secondary education,16.3
Oceania,2019,0.96,Ratio of girls to boys in upper secondary education,16.3
Oceania,2020,0.98,Ratio of girls to boys in primary education,16.6
Oceania,2020,0.94,Ratio of girls to boys in secondary education,16.6
Oceania,2020,0.96,Ratio of girls to boys in upper secondary education,16.6
Afghanistan,2010,0.68,Ratio of girls to boys in primary education,27.3
Afghanistan,2010,0.5,Ratio of girls to boys in secondary education,27.3
Afghanistan,2010,0.42,Ratio of girls to boys in upper secondary education,27.3
Afghanistan,2015,0.68,Ratio of girls to boys in primary education,27.7
Afghanistan,2015,0.56,Ratio of girls to boys in secondary education,27.7
Afghanistan,2015,0.52,Ratio of girls to boys in upper secondary education,27.7
Afghanistan,2018,0.67,Ratio of girls to boys in primary education,27.7
Afghanistan,2018,0.57,Ratio of girls to boys in secondary education,27.7
Afghanistan,2018,0.54,Ratio of girls to boys in upper secondary education,27.7
Albania,2005,1.01,Ratio of girls to boys in primary education,6.4
Albania,2005,0.97,Ratio of girls to boys in secondary education,6.4
Albania,2005,0.91,Ratio of girls to boys in upper secondary education,6.4
Albania,2010,1.01,Ratio of girls to boys in primary education,16.4
Albania,2010,1.01,Ratio of girls to boys in secondary education,16.4
Albania,2010,0.97,Ratio of girls to boys in upper secondary education,16.4
Albania,2015,1.03,Ratio of girls to boys in primary education,20.7
Albania,2015,0.96,Ratio of girls to boys in secondary education,20.7
Albania,2015,0.9,Ratio of girls to boys in upper secondary education,20.7
Albania,2018,1.04,Ratio of girls to boys in primary education,27.9
Albania,2018,1.01,Ratio of girls to boys in secondary education,27.9
Albania,2018,0.97,Ratio of girls to boys in upper secondary education,27.9
Albania,2019,1.03,Ratio of girls to boys in primary education,29.3
Albania,2019,1.01,Ratio of girls to boys in secondary education,29.3
Albania,2019,0.98,Ratio of girls to boys in upper secondary education,29.3
Albania,2020,1.03,Ratio of girls to boys in primary education,29.5
Albania,2020,1.02,Ratio of girls to boys in secondary education,29.5
Albania,2020,1.01,Ratio of girls to boys in upper secondary education,29.5
Algeria,2005,0.93,Ratio of girls to boys in primary education,6.2
Algeria,2005,1.1,Ratio of girls to boys in secondary education,6.2
Algeria,2005,1.48,Ratio of girls to boys in upper secondary education,6.2
Algeria,2010,0.94,Ratio of girls to boys in primary education,7.7
Algeria,2010,1.04,Ratio of girls to boys in secondary education,7.7
Algeria,2010,1.42,Ratio of girls to boys in upper secondary education,7.7
Algeria,2015,0.95,Ratio of girls to boys in primary education,31.6
Algeria,2018,0.96,Ratio of girls to boys in primary education,25.8
Algeria,2019,0.96,Ratio of girls to boys in primary education,25.8
Algeria,2020,0.97,Ratio of girls to boys in primary education,25.8
Angola,2010,0.8,Ratio of girls to boys in primary education,38.6
Angola,2010,0.68,Ratio of girls to boys in secondary education,38.6
Angola,2010,0.56,Ratio of girls to boys in upper secondary education,38.6
Angola,2015,0.87,Ratio of girls to boys in primary education,36.8
Antigua and Barbuda,2010,0.92,Ratio of girls to boys in primary education,10.5
Antigua and Barbuda,2010,1.05,Ratio of girls to boys in secondary education,10.5
Antigua and Barbuda,2010,1.53,Ratio of girls to boys in upper secondary education,10.5
Antigua and Barbuda,2015,0.97,Ratio of girls to boys in primary education,11.1
Antigua and Barbuda,2015,1.02,Ratio of girls to boys in secondary education,11.1
Antigua and Barbuda,2015,1.15,Ratio of girls to boys in upper secondary education,11.1
Antigua and Barbuda,2018,0.99,Ratio of girls to boys in primary education,11.1
Antigua and Barbuda,2018,0.96,Ratio of girls to boys in secondary education,11.1
Antigua and Barbuda,2018,1.13,Ratio of girls to boys in upper secondary education,11.1
Argentina,2005,0.99,Ratio of girls to boys in primary education,33.7
Argentina,2005,1.09,Ratio of girls to boys in secondary education,33.7
Argentina,2005,1.16,Ratio of girls to boys in upper secondary education,33.7
Argentina,2010,0.99,Ratio of girls to boys in primary education,38.5
Argentina,2010,1.1,Ratio of girls to boys in secondary education,38.5
Argentina,2010,1.2,Ratio of girls to boys in upper secondary education,38.5
Argentina,2015,1.0,Ratio of girls to boys in primary education,36.2
Argentina,2015,1.06,Ratio of girls to boys in secondary education,36.2
Argentina,2015,1.15,Ratio of girls to boys in upper secondary education,36.2
Argentina,2018,1.0,Ratio of girls to boys in primary education,38.9
Argentina,2018,1.04,Ratio of girls to boys in secondary education,38.9
Argentina,2018,1.12,Ratio of girls to boys in upper secondary education,38.9
Argentina,2019,1.0,Ratio of girls to boys in primary education,38.8
Argentina,2019,1.04,Ratio of girls to boys in secondary education,38.8
Argentina,2019,1.1,Ratio of girls to boys in upper secondary education,38.8
Armenia,2005,1.02,Ratio of girls to boys in primary education,5.3
Armenia,2010,1.03,Ratio of girls to boys in primary education,9.2
Armenia,2010,0.98,Ratio of girls to boys in secondary education,9.2
Armenia,2010,0.96,Ratio of girls to boys in upper secondary education,9.2
Armenia,2015,1.02,Ratio of girls to boys in primary education,10.7
Armenia,2015,1.05,Ratio of girls to boys in secondary education,10.7
Armenia,2015,1.11,Ratio of girls to boys in upper secondary education,10.7
Armenia,2018,1.0,Ratio of girls to boys in primary education,18.1
Armenia,2018,1.04,Ratio of girls to boys in secondary education,18.1
Armenia,2018,1.08,Ratio of girls to boys in upper secondary education,18.1
Armenia,2019,1.01,Ratio of girls to boys in primary education,24.2
Armenia,2019,1.05,Ratio of girls to boys in secondary education,24.2
Armenia,2019,1.12,Ratio of girls to boys in upper secondary education,24.2
Armenia,2020,1.01,Ratio of girls to boys in primary education,23.5
Armenia,2020,1.04,Ratio of girls to boys in secondary education,23.5
Armenia,2020,1.1,Ratio of girls to boys in upper secondary education,23.5
Australia,2005,1.02,Ratio of girls to boys in primary education,24.7
Australia,2010,1.0,Ratio of girls to boys in primary education,27.3
Australia,2015,1.0,Ratio of girls to boys in primary education,26.7
Australia,2015,0.87,Ratio of girls to boys in secondary education,26.7
Australia,2015,0.85,Ratio of girls to boys in upper secondary education,26.7
Australia,2018,1.0,Ratio of girls to boys in primary education,28.7
Australia,2018,0.94,Ratio of girls to boys in secondary education,28.7
Australia,2018,0.96,Ratio of girls to boys in upper secondary education,28.7
Australia,2019,1.0,Ratio of girls to boys in primary education,30.0
Australia,2019,0.93,Ratio of girls to boys in secondary education,30.0
Australia,2019,0.93,Ratio of girls to boys in upper secondary education,30.0
Austria,2005,1.0,Ratio of girls to boys in primary education,33.9
Austria,2005,0.95,Ratio of girls to boys in secondary education,33.9
Austria,2005,0.91,Ratio of girls to boys in upper secondary education,33.9
Austria,2010,0.99,Ratio of girls to boys in primary education,27.9
Austria,2010,0.96,Ratio of girls to boys in secondary education,27.9
Austria,2010,0.93,Ratio of girls to boys in upper secondary education,27.9
Austria,2015,0.99,Ratio of girls to boys in primary education,30.6
Austria,2015,0.96,Ratio of girls to boys in secondary education,30.6
Austria,2015,0.94,Ratio of girls to boys in upper secondary education,30.6
Austria,2018,0.99,Ratio of girls to boys in primary education,34.4
Austria,2018,0.96,Ratio of girls to boys in secondary education,34.4
Austria,2018,0.93,Ratio of girls to boys in upper secondary education,34.4
Austria,2019,0.99,Ratio of girls to boys in primary education,37.2
Austria,2019,0.97,Ratio of girls to boys in secondary education,37.2
Austria,2019,0.95,Ratio of girls to boys in upper secondary education,37.2
Azerbaijan,2005,0.95,Ratio of girls to boys in primary education,10.5
Azerbaijan,2010,0.99,Ratio of girls to boys in primary education,11.4
Azerbaijan,2015,0.98,Ratio of girls to boys in primary education,15.6
Azerbaijan,2018,1.01,Ratio of girls to boys in primary education,16.8
Azerbaijan,2018,1.0,Ratio of girls to boys in secondary education,16.8
Azerbaijan,2018,1.03,Ratio of girls to boys in upper secondary education,16.8
Azerbaijan,2019,1.03,Ratio of girls to boys in primary education,16.8
Azerbaijan,2019,1.0,Ratio of girls to boys in secondary education,16.8
Azerbaijan,2019,1.01,Ratio of girls to boys in upper secondary education,16.8
Azerbaijan,2020,1.04,Ratio of girls to boys in primary education,16.8
Azerbaijan,2020,0.98,Ratio of girls to boys in secondary education,16.8
Azerbaijan,2020,0.95,Ratio of girls to boys in upper secondary education,16.8
Bahamas,2005,0.97,Ratio of girls to boys in primary education,20.0
Bahamas,2005,0.99,Ratio of girls to boys in secondary education,20.0
Bahamas,2005,1.05,Ratio of girls to boys in upper secondary education,20.0
Bahamas,2010,1.04,Ratio of girls to boys in secondary education,12.2
Bahamas,2010,1.07,Ratio of girls to boys in upper secondary education,12.2
Bahrain,2005,1.04,Ratio of girls to boys in primary education,0.0
Bahrain,2005,1.11,Ratio of girls to boys in secondary education,0.0
Bahrain,2005,1.19,Ratio of girls to boys in upper secondary education,0.0
Bahrain,2015,1.01,Ratio of girls to boys in primary education,7.5
Bahrain,2015,0.99,Ratio of girls to boys in secondary education,7.5
Bahrain,2015,1.03,Ratio of girls to boys in upper secondary education,7.5
Bahrain,2018,0.99,Ratio of girls to boys in primary education,7.5
Bahrain,2018,1.06,Ratio of girls to boys in secondary education,7.5
Bahrain,2018,1.05,Ratio of girls to boys in upper secondary education,7.5
Bahrain,2019,0.99,Ratio of girls to boys in primary education,15.0
Bahrain,2019,1.09,Ratio of girls to boys in secondary education,15.0
Bahrain,2019,1.12,Ratio of girls to boys in upper secondary education,15.0
Bahrain,2010,1.01,Ratio of girls to boys in secondary education,2.5
Bahrain,2010,1.05,Ratio of girls to boys in upper secondary education,2.5
Bangladesh,2005,1.05,Ratio of girls to boys in primary education,2.0
Bangladesh,2005,1.07,Ratio of girls to boys in secondary education,2.0
Bangladesh,2005,0.97,Ratio of girls to boys in upper secondary education,2.0
Bangladesh,2010,1.06,Ratio of girls to boys in primary education,18.6
Bangladesh,2010,1.12,Ratio of girls to boys in secondary education,18.6
Bangladesh,2010,0.97,Ratio of girls to boys in upper secondary education,18.6
Bangladesh,2018,1.07,Ratio of girls to boys in primary education,20.3
Bangladesh,2018,1.16,Ratio of girls to boys in secondary education,20.3
Bangladesh,2018,1.04,Ratio of girls to boys in upper secondary education,20.3
Bangladesh,2020,1.09,Ratio of girls to boys in primary education,20.9
Bangladesh,2020,1.21,Ratio of girls to boys in secondary education,20.9
Bangladesh,2020,1.12,Ratio of girls to boys in upper secondary education,20.9
Bangladesh,2015,1.13,Ratio of girls to boys in secondary education,20.0
Bangladesh,2015,0.99,Ratio of girls to boys in upper secondary education,20.0
Bangladesh,2019,1.17,Ratio of girls to boys in secondary education,20.7
Bangladesh,2019,1.06,Ratio of girls to boys in upper secondary education,20.7
Barbados,2005,1.0,Ratio of girls to boys in primary education,13.3
Barbados,2005,0.99,Ratio of girls to boys in secondary education,13.3
Barbados,2005,1.03,Ratio of girls to boys in upper secondary education,13.3
Barbados,2010,1.02,Ratio of girls to boys in primary education,10.0
Barbados,2010,1.0,Ratio of girls to boys in secondary education,10.0
Barbados,2010,1.08,Ratio of girls to boys in upper secondary education,10.0
Barbados,2015,0.99,Ratio of girls to boys in primary education,16.7
Barbados,2015,1.04,Ratio of girls to boys in secondary education,16.7
Barbados,2015,1.05,Ratio of girls to boys in upper secondary education,16.7
Barbados,2018,0.96,Ratio of girls to boys in primary education,16.7
Barbados,2018,1.04,Ratio of girls to boys in secondary education,16.7
Barbados,2018,1.09,Ratio of girls to boys in upper secondary education,16.7
Barbados,2019,0.96,Ratio of girls to boys in primary education,20.0
Barbados,2019,1.04,Ratio of girls to boys in secondary education,20.0
Barbados,2019,1.08,Ratio of girls to boys in upper secondary education,20.0
Barbados,2020,0.97,Ratio of girls to boys in primary education,20.0
Barbados,2020,1.03,Ratio of girls to boys in secondary education,20.0
Barbados,2020,1.13,Ratio of girls to boys in upper secondary education,20.0
Belarus,2005,0.97,Ratio of girls to boys in primary education,29.4
Belarus,2010,1.0,Ratio of girls to boys in primary education,31.8
Belarus,2010,0.97,Ratio of girls to boys in secondary education,31.8
Belarus,2010,0.93,Ratio of girls to boys in upper secondary education,31.8
Belarus,2015,1.0,Ratio of girls to boys in primary education,27.3
Belarus,2015,0.98,Ratio of girls to boys in secondary education,27.3
Belarus,2015,0.95,Ratio of girls to boys in upper secondary education,27.3
Belarus,2018,1.0,Ratio of girls to boys in primary education,34.5
Belarus,2018,0.99,Ratio of girls to boys in secondary education,34.5
Belarus,2018,0.94,Ratio of girls to boys in upper secondary education,34.5
Belgium,2005,1.0,Ratio of girls to boys in primary education,34.7
Belgium,2005,1.12,Ratio of girls to boys in secondary education,34.7
Belgium,2005,1.1,Ratio of girls to boys in upper secondary education,34.7
Belgium,2010,1.0,Ratio of girls to boys in primary education,38.0
Belgium,2010,1.14,Ratio of girls to boys in secondary education,38.0
Belgium,2010,1.18,Ratio of girls to boys in upper secondary education,38.0
Belgium,2015,1.0,Ratio of girls to boys in primary education,39.3
Belgium,2015,1.14,Ratio of girls to boys in secondary education,39.3
Belgium,2015,1.18,Ratio of girls to boys in upper secondary education,39.3
Belgium,2018,1.0,Ratio of girls to boys in primary education,38.0
Belgium,2018,1.12,Ratio of girls to boys in secondary education,38.0
Belgium,2018,1.17,Ratio of girls to boys in upper secondary education,38.0
Belgium,2019,1.01,Ratio of girls to boys in primary education,38.0
Belgium,2019,1.13,Ratio of girls to boys in secondary education,38.0
Belgium,2019,1.17,Ratio of girls to boys in upper secondary education,38.0
Belize,2005,0.96,Ratio of girls to boys in primary education,6.7
Belize,2005,1.03,Ratio of girls to boys in secondary education,6.7
Belize,2005,1.16,Ratio of girls to boys in upper secondary education,6.7
Belize,2010,0.96,Ratio of girls to boys in primary education,0.0
Belize,2010,1.08,Ratio of girls to boys in secondary education,0.0
Belize,2010,1.2,Ratio of girls to boys in upper secondary education,0.0
Belize,2015,0.95,Ratio of girls to boys in primary education,3.1
Belize,2015,1.03,Ratio of girls to boys in secondary education,3.1
Belize,2015,1.13,Ratio of girls to boys in upper secondary education,3.1
Belize,2018,0.95,Ratio of girls to boys in primary education,9.4
Belize,2018,1.04,Ratio of girls to boys in secondary education,9.4
Belize,2018,1.22,Ratio of girls to boys in upper secondary education,9.4
Belize,2019,0.97,Ratio of girls to boys in primary education,9.4
Belize,2019,1.02,Ratio of girls to boys in secondary education,9.4
Belize,2019,1.17,Ratio of girls to boys in upper secondary education,9.4
Belize,2020,0.95,Ratio of girls to boys in primary education,9.4
Belize,2020,1.04,Ratio of girls to boys in secondary education,9.4
Belize,2020,1.17,Ratio of girls to boys in upper secondary education,9.4
Benin,2005,0.79,Ratio of girls to boys in primary education,7.2
