name,target type,desc,component id
S-adenosylmethionine decarboxylase 1,SINGLE PROTEIN,Target is a single protein chain,2500
Microsomal triglyceride transfer protein large subunit,SINGLE PROTEIN,Target is a single protein chain,906
Phosphofructokinase muscle type,SINGLE PROTEIN,Target is a single protein chain,1611
DOPA decarboxylase,SINGLE PROTEIN,Target is a single protein chain,2549
GABA receptor alpha-6 subunit,SINGLE PROTEIN,Target is a single protein chain,4850
GABA receptor alpha-6 subunit,SINGLE PROTEIN,Target is a single protein chain,41
Protein-glutamine glutamyltransferase E,SINGLE PROTEIN,Target is a single protein chain,1685
Dihydropteridine reductase,SINGLE PROTEIN,Target is a single protein chain,1240
Estradiol 17-beta-dehydrogenase 1,SINGLE PROTEIN,Target is a single protein chain,1505
Cystic fibrosis transmembrane conductance regulator,SINGLE PROTEIN,Target is a single protein chain,2370
Dopamine beta-hydroxylase,SINGLE PROTEIN,Target is a single protein chain,4792
Steroid 5-alpha-reductase 2,SINGLE PROTEIN,Target is a single protein chain,4975
Glycine transporter 2,SINGLE PROTEIN,Target is a single protein chain,1518
Aldehyde reductase,SINGLE PROTEIN,Target is a single protein chain,2368
Esterase D,SINGLE PROTEIN,Target is a single protein chain,2382
Alpha enolase,SINGLE PROTEIN,Target is a single protein chain,1618
Gamma-glutamylcysteine synthetase,SINGLE PROTEIN,Target is a single protein chain,2374
Insulin-like growth factor binding protein 4,SINGLE PROTEIN,Target is a single protein chain,651
"Nitric-oxide synthase, brain",SINGLE PROTEIN,Target is a single protein chain,1375
Vasopressin V1a receptor,SINGLE PROTEIN,Target is a single protein chain,1198
Nischarin,SINGLE PROTEIN,Target is a single protein chain,2243
Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,SINGLE PROTEIN,Target is a single protein chain,2221
Guanylate kinase,SINGLE PROTEIN,Target is a single protein chain,3301
Prostaglandin-H2 D-isomerase,SINGLE PROTEIN,Target is a single protein chain,2652
Thymidine phosphorylase,SINGLE PROTEIN,Target is a single protein chain,1433
Gamma-glutamyltranspeptidase 1,SINGLE PROTEIN,Target is a single protein chain,1274
Cellular retinoic acid-binding protein II,SINGLE PROTEIN,Target is a single protein chain,2491
Tyrosine-protein kinase ABL,SINGLE PROTEIN,Target is a single protein chain,1426
Caspase-1,SINGLE PROTEIN,Target is a single protein chain,3118
Arachidonate 12-lipoxygenase,SINGLE PROTEIN,Target is a single protein chain,1547
Alpha-mannosidase 2A1,SINGLE PROTEIN,Target is a single protein chain,2375
DNA topoisomerase II alpha,SINGLE PROTEIN,Target is a single protein chain,1722
tRNA-guanine transglycosylase,SINGLE PROTEIN,Target is a single protein chain,2711
Neuronal acetylcholine receptor protein alpha-10 subunit,SINGLE PROTEIN,Target is a single protein chain,1782
Pregnane X receptor,SINGLE PROTEIN,Target is a single protein chain,1723
Dual specificity phosphatase Cdc25C,SINGLE PROTEIN,Target is a single protein chain,720
Tubulin beta chain,SINGLE PROTEIN,Target is a single protein chain,1716
Alpha-L-fucosidase 2,SINGLE PROTEIN,Target is a single protein chain,612
Estrogen sulfotransferase,SINGLE PROTEIN,Target is a single protein chain,1379
Coagulation factor VII,SINGLE PROTEIN,Target is a single protein chain,2311
Dihydroorotase,SINGLE PROTEIN,Target is a single protein chain,1107
Serotonin 3a (5-HT3a) receptor,SINGLE PROTEIN,Target is a single protein chain,752
Acrosin,SINGLE PROTEIN,Target is a single protein chain,1074
Multidrug resistance-associated protein 1,SINGLE PROTEIN,Target is a single protein chain,1333
Sigma opioid receptor,SINGLE PROTEIN,Target is a single protein chain,1922
Aminopeptidase N,SINGLE PROTEIN,Target is a single protein chain,1580
MAP kinase p38 alpha,SINGLE PROTEIN,Target is a single protein chain,3142
Alanine aminotransferase,SINGLE PROTEIN,Target is a single protein chain,1581
Liver glycogen phosphorylase,SINGLE PROTEIN,Target is a single protein chain,1337
Neprilysin,SINGLE PROTEIN,Target is a single protein chain,1691
Glutamate [NMDA] receptor subunit 3A,SINGLE PROTEIN,Target is a single protein chain,3104
Adenosine A3 receptor,SINGLE PROTEIN,Target is a single protein chain,1682
Sulfonylurea receptor 2,SINGLE PROTEIN,Target is a single protein chain,1565
Methylenetetrahydrofolate dehydrogenase,SINGLE PROTEIN,Target is a single protein chain,1462
"Beta-1,4-galactosyltransferase 1",SINGLE PROTEIN,Target is a single protein chain,1536
Monoamine oxidase B,SINGLE PROTEIN,Target is a single protein chain,1089
Monoamine oxidase B,SINGLE PROTEIN,Target is a single protein chain,1323
Retinoic acid receptor gamma,SINGLE PROTEIN,Target is a single protein chain,967
Vascular endothelial growth factor receptor 1,SINGLE PROTEIN,Target is a single protein chain,1837
Trehalase,SINGLE PROTEIN,Target is a single protein chain,1569
Monoamine oxidase A,SINGLE PROTEIN,Target is a single protein chain,1680
Acyl coenzyme A:cholesterol acyltransferase 2,SINGLE PROTEIN,Target is a single protein chain,1186
Glutathione S-transferase Mu 1,SINGLE PROTEIN,Target is a single protein chain,550
Beta casein,SINGLE PROTEIN,Target is a single protein chain,551
Melatonin receptor 1B,SINGLE PROTEIN,Target is a single protein chain,903
Protein kinase C alpha ,SINGLE PROTEIN,Target is a single protein chain,904
MAP kinase p38 beta,SINGLE PROTEIN,Target is a single protein chain,2653
Protein-tyrosine phosphatase 1B,SINGLE PROTEIN,Target is a single protein chain,1657
Protein-tyrosine phosphatase 2C,SINGLE PROTEIN,Target is a single protein chain,954
Glutamate receptor ionotropic kainate 1,SINGLE PROTEIN,Target is a single protein chain,1249
Vasoactive intestinal peptide receptor ,SINGLE PROTEIN,Target is a single protein chain,2663
Prolyl 4-hydroxylase alpha-1 subunit,SINGLE PROTEIN,Target is a single protein chain,1621
Endothelin receptor ET-A,SINGLE PROTEIN,Target is a single protein chain,2883
PI3-kinase p110-beta subunit,SINGLE PROTEIN,Target is a single protein chain,1470
Voltage-gated potassium channel subunit Kv1.1,SINGLE PROTEIN,Target is a single protein chain,650
1-acylglycerol-3-phosphate O-acyltransferase beta,SINGLE PROTEIN,Target is a single protein chain,3088
"Glutamate receptor ionotropic, AMPA 4",SINGLE PROTEIN,Target is a single protein chain,1514
Cytosolic phospholipase A2,SINGLE PROTEIN,Target is a single protein chain,1237
Group IIF secretory phospholipase A2,SINGLE PROTEIN,Target is a single protein chain,2597
NAD-dependent histone deacetylase SIR2,SINGLE PROTEIN,Target is a single protein chain,1596
Catechol O-methyltransferase,SINGLE PROTEIN,Target is a single protein chain,714
Pyruvate dehydrogenase kinase isoform 3,SINGLE PROTEIN,Target is a single protein chain,2213
TRAIL receptor-1,SINGLE PROTEIN,Target is a single protein chain,1872
Melanocortin receptor 1,SINGLE PROTEIN,Target is a single protein chain,2396
Leukocyte adhesion molecule-1,SINGLE PROTEIN,Target is a single protein chain,1487
Histone deacetylase 8,SINGLE PROTEIN,Target is a single protein chain,688
ATP-citrate synthase,SINGLE PROTEIN,Target is a single protein chain,1080
Enoyl-CoA hydratase 1,SINGLE PROTEIN,Target is a single protein chain,1478
Adenosylhomocysteinase ,SINGLE PROTEIN,Target is a single protein chain,1000
Beta-lactamase,SINGLE PROTEIN,Target is a single protein chain,1061
Cholecystokinin A receptor,SINGLE PROTEIN,Target is a single protein chain,1201
NADH-ubiquinone oxidoreductase MLRQ subunit,SINGLE PROTEIN,Target is a single protein chain,658
Glutamate (NMDA) receptor subunit zeta 1,SINGLE PROTEIN,Target is a single protein chain,44
UDP-glucuronosyltransferase 1A4,SINGLE PROTEIN,Target is a single protein chain,1936
Matrix metalloproteinase 12,SINGLE PROTEIN,Target is a single protein chain,929
Metabotropic glutamate receptor 1,SINGLE PROTEIN,Target is a single protein chain,2794
Endothelin-converting enzyme 1,SINGLE PROTEIN,Target is a single protein chain,681
"Nitric-oxide synthase, endothelial",SINGLE PROTEIN,Target is a single protein chain,3120
NF-kappaB inhibitor alpha,SINGLE PROTEIN,Target is a single protein chain,1228
Acyl coenzyme A:cholesterol acyltransferase 1,SINGLE PROTEIN,Target is a single protein chain,1115
Cathepsin B ,SINGLE PROTEIN,Target is a single protein chain,937
Cytidine deaminase,SINGLE PROTEIN,Target is a single protein chain,2819
Myosin light chain kinase,SINGLE PROTEIN,Target is a single protein chain,2944
TGF-beta receptor type I,SINGLE PROTEIN,Target is a single protein chain,2756
Uridine phosphorylase 1,SINGLE PROTEIN,Target is a single protein chain,2034
Dihydropteridine reductase,SINGLE PROTEIN,Target is a single protein chain,2046
Protein-tyrosine phosphatase 1B,SINGLE PROTEIN,Target is a single protein chain,1270
Arylamine N-acetyltransferase 1 ,SINGLE PROTEIN,Target is a single protein chain,3407
Androgen Receptor,SINGLE PROTEIN,Target is a single protein chain,2272
Phospholipase A2 group 1B,SINGLE PROTEIN,Target is a single protein chain,3328
Acetylcholinesterase,SINGLE PROTEIN,Target is a single protein chain,2397
Isoleucyl-tRNA synthetase,SINGLE PROTEIN,Target is a single protein chain,1973
Dopamine transporter,SINGLE PROTEIN,Target is a single protein chain,1317
Arachidonate 5-lipoxygenase,SINGLE PROTEIN,Target is a single protein chain,4793
Estrogen receptor alpha,SINGLE PROTEIN,Target is a single protein chain,1260
Alpha-glucosidase MAL12,SINGLE PROTEIN,Target is a single protein chain,1262
Coagulation factor XII,SINGLE PROTEIN,Target is a single protein chain,1854
Voltage-gated L-type calcium channel alpha-1S subunit,SINGLE PROTEIN,Target is a single protein chain,2426
Trypsin II,SINGLE PROTEIN,Target is a single protein chain,2607
UDP-3-O-acyl-GlcNAc deacetylase,SINGLE PROTEIN,Target is a single protein chain,5117
3-oxoacyl-[acyl-carrier-protein] synthase III,SINGLE PROTEIN,Target is a single protein chain,1957
Sodium/glucose cotransporter 1,SINGLE PROTEIN,Target is a single protein chain,3292
DNA topoisomerase II beta,SINGLE PROTEIN,Target is a single protein chain,3855
Sodium channel protein type II alpha subunit,SINGLE PROTEIN,Target is a single protein chain,2506
Sodium channel protein type XI alpha subunit ,SINGLE PROTEIN,Target is a single protein chain,3471
Ryanodine receptor 1,SINGLE PROTEIN,Target is a single protein chain,5787
Integrin alpha M,SINGLE PROTEIN,Target is a single protein chain,1923
L-lactate dehydrogenase B chain,SINGLE PROTEIN,Target is a single protein chain,2141
"Amine oxidase, copper containing",SINGLE PROTEIN,Target is a single protein chain,2909
Neurokinin 3 receptor,SINGLE PROTEIN,Target is a single protein chain,2117
Glucan synthase ,SINGLE PROTEIN,Target is a single protein chain,222
Beta-mannosidase,SINGLE PROTEIN,Target is a single protein chain,1753
Heat shock protein HSP 90 (HSP82),SINGLE PROTEIN,Target is a single protein chain,1857
Cellular tumor antigen p53,SINGLE PROTEIN,Target is a single protein chain,3
Cyclin-dependent kinase 1,SINGLE PROTEIN,Target is a single protein chain,2403
Arachidonate 15-lipoxygenase,SINGLE PROTEIN,Target is a single protein chain,2675
"Amine oxidase, copper containing",SINGLE PROTEIN,Target is a single protein chain,3332
Heat shock protein HSP 90 (HSC82),SINGLE PROTEIN,Target is a single protein chain,2518
Heme oxygenase 2,SINGLE PROTEIN,Target is a single protein chain,1670
Sodium/glucose cotransporter 2,SINGLE PROTEIN,Target is a single protein chain,2205
Carbonic anhydrase,SINGLE PROTEIN,Target is a single protein chain,2251
Alpha-glucosidase,SINGLE PROTEIN,Target is a single protein chain,1757
Phenylalanyl-tRNA synthetase alpha chain,SINGLE PROTEIN,Target is a single protein chain,1758
Calpain 1,SINGLE PROTEIN,Target is a single protein chain,2063
Cathepsin L2,SINGLE PROTEIN,Target is a single protein chain,2415
Butyrylcholinesterase,SINGLE PROTEIN,Target is a single protein chain,3386
Beta-glucuronidase,SINGLE PROTEIN,Target is a single protein chain,2401
Adaptor-associated kinase,SINGLE PROTEIN,Target is a single protein chain,2148
CaM kinase II gamma,SINGLE PROTEIN,Target is a single protein chain,2147
Ephrin type-A receptor 8,SINGLE PROTEIN,Target is a single protein chain,2452
Tyrosine-protein kinase FRK,SINGLE PROTEIN,Target is a single protein chain,2542
Dual specificty protein kinase CLK1,SINGLE PROTEIN,Target is a single protein chain,2543
Serine/threonine-protein kinase MST1,SINGLE PROTEIN,Target is a single protein chain,2915
Serine/threonine-protein kinase PIM2,SINGLE PROTEIN,Target is a single protein chain,2840
Mannosyl-oligosaccharide glucosidase,SINGLE PROTEIN,Target is a single protein chain,3002
Beta-lactamase type II,SINGLE PROTEIN,Target is a single protein chain,3156
Prostaglandin E synthase 2,SINGLE PROTEIN,Target is a single protein chain,2727
Prion protein,SINGLE PROTEIN,Target is a single protein chain,2013
Rhizopuspepsin,SINGLE PROTEIN,Target is a single protein chain,2572
Alpha trans-inducing protein (VP16),SINGLE PROTEIN,Target is a single protein chain,2537
Isoprenylcysteine carboxyl methyltransferase,SINGLE PROTEIN,Target is a single protein chain,2701
Mandelate racemase,SINGLE PROTEIN,Target is a single protein chain,3056
Histone deacetylase,SINGLE PROTEIN,Target is a single protein chain,3057
Beta-ketoacyl-ACP-synthase III,SINGLE PROTEIN,Target is a single protein chain,3280
PDZ-binding kinase,SINGLE PROTEIN,Target is a single protein chain,3212
Tyrosine-protein kinase FGR,SINGLE PROTEIN,Target is a single protein chain,2679
Protein kinase C epsilon,SINGLE PROTEIN,Target is a single protein chain,4961
Prostanoid EP2 receptor,SINGLE PROTEIN,Target is a single protein chain,3222
Lysophosphatidic acid receptor Edg-2,SINGLE PROTEIN,Target is a single protein chain,2912
Toll-like receptor 4,SINGLE PROTEIN,Target is a single protein chain,3553
Glutaminyl-peptide cyclotransferase,SINGLE PROTEIN,Target is a single protein chain,2825
Induced myeloid leukemia cell differentiation protein Mcl-1,SINGLE PROTEIN,Target is a single protein chain,2678
Dipeptidyl peptidase III,SINGLE PROTEIN,Target is a single protein chain,2837
ADAMTS1,SINGLE PROTEIN,Target is a single protein chain,3437
S-ribosylhomocysteine lyase,SINGLE PROTEIN,Target is a single protein chain,3000
Toll-like receptor 2,SINGLE PROTEIN,Target is a single protein chain,2483
Farnesyl pyrophosphate synthase,SINGLE PROTEIN,Target is a single protein chain,2008
Proteasome Macropain subunit PRE2,SINGLE PROTEIN,Target is a single protein chain,2977
Receptor-type tyrosine-protein phosphatase mu,SINGLE PROTEIN,Target is a single protein chain,2979
UDP-N-acetylmuramoylalanine--D-glutamate ligase,SINGLE PROTEIN,Target is a single protein chain,3049
Alpha-amylase,SINGLE PROTEIN,Target is a single protein chain,2534
Sarcoplasmic/endoplasmic reticulum calcium ATP-ase ,SINGLE PROTEIN,Target is a single protein chain,3011
UDP-glucuronosyltransferase 2B17,SINGLE PROTEIN,Target is a single protein chain,3291
Betaine--homocysteine S-methyltransferase 1,SINGLE PROTEIN,Target is a single protein chain,2645
Tryptase alpha/beta-1,SINGLE PROTEIN,Target is a single protein chain,3065
Dual-specificity tyrosine-phosphorylation regulated kinase 1A,SINGLE PROTEIN,Target is a single protein chain,3066
Prostanoid IP receptor,SINGLE PROTEIN,Target is a single protein chain,1642
G protein-coupled receptor 44,SINGLE PROTEIN,Target is a single protein chain,632
Casein kinase I homolog 1,SINGLE PROTEIN,Target is a single protein chain,1818
Serine/threonine-protein kinase SULU,SINGLE PROTEIN,Target is a single protein chain,3498
Orphan nuclear receptor LRH-1,SINGLE PROTEIN,Target is a single protein chain,1865
Steroidogenic factor 1,SINGLE PROTEIN,Target is a single protein chain,2984
Histone acetyltransferase GCN5,SINGLE PROTEIN,Target is a single protein chain,2987
Serine/threonine-protein kinase NEK7,SINGLE PROTEIN,Target is a single protein chain,3165
Casein kinase II alpha,SINGLE PROTEIN,Target is a single protein chain,2831
Serine/threonine-protein kinase BUD32,SINGLE PROTEIN,Target is a single protein chain,2832
Serine/threonine-protein kinase MRCK-A,SINGLE PROTEIN,Target is a single protein chain,2833
Histamine N-methyltransferase,SINGLE PROTEIN,Target is a single protein chain,2802
Mu opioid receptor,SINGLE PROTEIN,Target is a single protein chain,2671
Penicillin-binding protein 3,SINGLE PROTEIN,Target is a single protein chain,2588
Ribosomal protein S6 kinase alpha 1,SINGLE PROTEIN,Target is a single protein chain,3819
Nerve growth factor receptor Trk-A,SINGLE PROTEIN,Target is a single protein chain,2539
Serine/threonine-protein kinase ILK-1,SINGLE PROTEIN,Target is a single protein chain,3545
Voltage-gated potassium channel subunit Kv3.1,SINGLE PROTEIN,Target is a single protein chain,3820
Voltage-gated potassium channel subunit Kv7.2,SINGLE PROTEIN,Target is a single protein chain,3821
Cytochrome P450 2C11,SINGLE PROTEIN,Target is a single protein chain,3283
Cytochrome P450 4A4,SINGLE PROTEIN,Target is a single protein chain,3060
C-C chemokine receptor type 3,SINGLE PROTEIN,Target is a single protein chain,3480
Vitamin D receptor,SINGLE PROTEIN,Target is a single protein chain,3890
Amine oxidase,SINGLE PROTEIN,Target is a single protein chain,3825
Serotonin 7 (5-HT7) receptor,SINGLE PROTEIN,Target is a single protein chain,3786
Histone acetyltransferase p300,SINGLE PROTEIN,Target is a single protein chain,2102
Histone acetyltransferase PCAF,SINGLE PROTEIN,Target is a single protein chain,3792
Envelope glycoprotein gp160,SINGLE PROTEIN,Target is a single protein chain,5405
Multifunctional protein ADE2,SINGLE PROTEIN,Target is a single protein chain,3609
Heat shock factor protein 1,SINGLE PROTEIN,Target is a single protein chain,3610
Epithelial discoidin domain-containing receptor 1,SINGLE PROTEIN,Target is a single protein chain,3616
Deoxyguanosine kinase,SINGLE PROTEIN,Target is a single protein chain,3619
Thymidine kinase,SINGLE PROTEIN,Target is a single protein chain,3620
Deoxyadenosine kinase,SINGLE PROTEIN,Target is a single protein chain,3621
Urease,SINGLE PROTEIN,Target is a single protein chain,3622
Cycloheximide resistance protein,SINGLE PROTEIN,Target is a single protein chain,3632
Carbonic anhydrase,SINGLE PROTEIN,Target is a single protein chain,3633
3-oxoacyl-[acyl-carrier-protein] synthase 2,SINGLE PROTEIN,Target is a single protein chain,3637
Bile acid receptor,SINGLE PROTEIN,Target is a single protein chain,3639
RAC-beta serine/threonine-protein kinase,SINGLE PROTEIN,Target is a single protein chain,3677
Bcl2 antagonist of cell death,SINGLE PROTEIN,Target is a single protein chain,3680
Acid ceramidase,SINGLE PROTEIN,Target is a single protein chain,3755
Protein tyrosine kinase 2 beta,SINGLE PROTEIN,Target is a single protein chain,3761
Mitogen-activated protein kinase 3,SINGLE PROTEIN,Target is a single protein chain,3802
"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma-1",SINGLE PROTEIN,Target is a single protein chain,3857
Proto-oncogene tyrosine-protein kinase ROS,SINGLE PROTEIN,Target is a single protein chain,3859
PCNA-associated factor,SINGLE PROTEIN,Target is a single protein chain,3865
Serine/threonine-protein kinase 11,SINGLE PROTEIN,Target is a single protein chain,3895
Prostasin,SINGLE PROTEIN,Target is a single protein chain,3899
Signal transducer and activator of transcription 1,SINGLE PROTEIN,Target is a single protein chain,3356
Matrix metalloproteinase-24,SINGLE PROTEIN,Target is a single protein chain,3361
Endothelial lipase,SINGLE PROTEIN,Target is a single protein chain,3388
Glutamine synthetase,SINGLE PROTEIN,Target is a single protein chain,3397
Lanosterol 14-alpha demethylase,SINGLE PROTEIN,Target is a single protein chain,3398
Cell division protein ftsZ,SINGLE PROTEIN,Target is a single protein chain,3403
Glutamate racemase,SINGLE PROTEIN,Target is a single protein chain,3487
Serine/threonine-protein kinase TNNI3K,SINGLE PROTEIN,Target is a single protein chain,3558
Glucose-dependent insulinotropic receptor,SINGLE PROTEIN,Target is a single protein chain,3560
Glucose-dependent insulinotropic receptor,SINGLE PROTEIN,Target is a single protein chain,3561
G protein-regulated inducer of neurite outgrowth 1,SINGLE PROTEIN,Target is a single protein chain,3564
Sodium/hydrogen exchanger,SINGLE PROTEIN,Target is a single protein chain,3566
Solute carrier family 22 member 20,SINGLE PROTEIN,Target is a single protein chain,3567
Protective antigen,SINGLE PROTEIN,Target is a single protein chain,3648
Calmodulin-sensitive adenylate cyclase,SINGLE PROTEIN,Target is a single protein chain,3691
Histone-arginine methyltransferase CARM1,SINGLE PROTEIN,Target is a single protein chain,3701
Aromatic peroxygenase,SINGLE PROTEIN,Target is a single protein chain,3764
Na(+)/H(+) antiporter nhaA,SINGLE PROTEIN,Target is a single protein chain,3770
Beta-lactamase OXA-10,SINGLE PROTEIN,Target is a single protein chain,3774
Protein kinase C-like 1,SINGLE PROTEIN,Target is a single protein chain,3807
Casein kinase I isoform alpha-like,SINGLE PROTEIN,Target is a single protein chain,3812
Transient receptor potential cation channel subfamily V member 3,SINGLE PROTEIN,Target is a single protein chain,3814
Sodium/nucleoside cotransporter 1,SINGLE PROTEIN,Target is a single protein chain,3842
Aldo-keto reductase family 1 member C4,SINGLE PROTEIN,Target is a single protein chain,3311
G-protein coupled receptor 12,SINGLE PROTEIN,Target is a single protein chain,3318
Myosin-IIIB,SINGLE PROTEIN,Target is a single protein chain,3964
Alpha-N-acetylgalactosaminidase,SINGLE PROTEIN,Target is a single protein chain,3965
Poly [ADP-ribose] polymerase 1,SINGLE PROTEIN,Target is a single protein chain,4013
DNA ligase 1,SINGLE PROTEIN,Target is a single protein chain,4016
Nuclear receptor subfamily 2 group C member 2,SINGLE PROTEIN,Target is a single protein chain,4072
Cell division protein kinase 8,SINGLE PROTEIN,Target is a single protein chain,4075
P2Y purinoceptor 1,SINGLE PROTEIN,Target is a single protein chain,4076
Beta-lactamase,SINGLE PROTEIN,Target is a single protein chain,4135
Adenylate cyclase,SINGLE PROTEIN,Target is a single protein chain,4139
Type-2 restriction enzyme ScaI,SINGLE PROTEIN,Target is a single protein chain,4195
POSSIBLE FATTY-ACID-CoA SYNTHETASE FADD17 (FATTY-ACID-CoA SYNTHASE) (FATTY-ACID-CoA LIGASE),SINGLE PROTEIN,Target is a single protein chain,4196
Cation-dependent mannose-6-phosphate receptor,SINGLE PROTEIN,Target is a single protein chain,4201
Myelin-associated glycoprotein,SINGLE PROTEIN,Target is a single protein chain,4252
Matrix metalloproteinase-9,SINGLE PROTEIN,Target is a single protein chain,4306
Serine/threonine-protein kinase PFTAIRE-2,SINGLE PROTEIN,Target is a single protein chain,4316
Endothelin-converting enzyme 2,SINGLE PROTEIN,Target is a single protein chain,4364
Ribonuclease H1,SINGLE PROTEIN,Target is a single protein chain,4367
Beta-lactamase,SINGLE PROTEIN,Target is a single protein chain,4369
"Aldehyde dehydrogenase 1, mitochondrial",SINGLE PROTEIN,Target is a single protein chain,4418
"Glyceraldehyde-3-phosphate dehydrogenase, glycosomal",SINGLE PROTEIN,Target is a single protein chain,4421
Phospholipid transfer protein,SINGLE PROTEIN,Target is a single protein chain,4469
"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",SINGLE PROTEIN,Target is a single protein chain,4632
Acetylcholine-binding protein,SINGLE PROTEIN,Target is a single protein chain,4635
Toll-like receptor 9,SINGLE PROTEIN,Target is a single protein chain,4693
1-deoxy-D-xylulose 5-phosphate reductoisomerase,SINGLE PROTEIN,Target is a single protein chain,3930
Lys-gingipain,SINGLE PROTEIN,Target is a single protein chain,3974
Glucose-6-phosphate 1-dehydrogenase,SINGLE PROTEIN,Target is a single protein chain,3982
Egl nine homolog 3,SINGLE PROTEIN,Target is a single protein chain,4027
COP9 signalosome complex subunit 7b,SINGLE PROTEIN,Target is a single protein chain,4028
Adenylate kinase isoenzyme 1,SINGLE PROTEIN,Target is a single protein chain,4031
Beta-lactamase 1,SINGLE PROTEIN,Target is a single protein chain,4088
Calcitonin gene-related peptide 1,SINGLE PROTEIN,Target is a single protein chain,4091
Dual specificity mitogen-activated protein kinase kinase 1,SINGLE PROTEIN,Target is a single protein chain,5120
Translocator protein,SINGLE PROTEIN,Target is a single protein chain,4097
Type-1 angiotensin II receptor,SINGLE PROTEIN,Target is a single protein chain,4098
C5a anaphylatoxin chemotactic receptor,SINGLE PROTEIN,Target is a single protein chain,4101
3-oxo-5-beta-steroid 4-dehydrogenase,SINGLE PROTEIN,Target is a single protein chain,4144
Cytochrome P450 3A43,SINGLE PROTEIN,Target is a single protein chain,4205
Arylamine N-acetyltransferase,SINGLE PROTEIN,Target is a single protein chain,4208
Toll-like receptor 9,SINGLE PROTEIN,Target is a single protein chain,4217
Glycophorin-A,SINGLE PROTEIN,Target is a single protein chain,4218
Catenin beta-1,SINGLE PROTEIN,Target is a single protein chain,4326
Activin receptor type-1,SINGLE PROTEIN,Target is a single protein chain,4377
Dihydrodipicolinate synthase,SINGLE PROTEIN,Target is a single protein chain,4378
Aurora kinase A-interacting protein,SINGLE PROTEIN,Target is a single protein chain,4384
Toll-like receptor 7,SINGLE PROTEIN,Target is a single protein chain,4431
Cytochrome P450 2E1,SINGLE PROTEIN,Target is a single protein chain,4485
Tumor necrosis factor receptor superfamily member 3,SINGLE PROTEIN,Target is a single protein chain,5183
Cell death protein 3,SINGLE PROTEIN,Target is a single protein chain,5184
Histidine triad nucleotide-binding protein 1,SINGLE PROTEIN,Target is a single protein chain,5365
C-X-C chemokine receptor type 4,SINGLE PROTEIN,Target is a single protein chain,5224
NADPH oxidase 4,SINGLE PROTEIN,Target is a single protein chain,5233
Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2,SINGLE PROTEIN,Target is a single protein chain,5112
Beta-lactamase SHV-72,SINGLE PROTEIN,Target is a single protein chain,4803
