Year,Country,Education level,Gender ratio,Percentage women
2020,Latin America & the Caribbean,Ratio of girls to boys in upper secondary education,1.09,32.1
2005,Central Asia,Ratio of girls to boys in primary education,0.99,11.6
2005,Central Asia,Ratio of girls to boys in secondary education,0.96,11.6
2005,Central Asia,Ratio of girls to boys in upper secondary education,0.98,11.6
2010,Central Asia,Ratio of girls to boys in primary education,0.99,20.0
2010,Central Asia,Ratio of girls to boys in secondary education,0.98,20.0
2010,Central Asia,Ratio of girls to boys in upper secondary education,1.0,20.0
2015,Central Asia,Ratio of girls to boys in primary education,0.99,21.8
2015,Central Asia,Ratio of girls to boys in secondary education,0.99,21.8
2015,Central Asia,Ratio of girls to boys in upper secondary education,1.01,21.8
2018,Central Asia,Ratio of girls to boys in primary education,0.99,21.3
2018,Central Asia,Ratio of girls to boys in secondary education,0.98,21.3
2018,Central Asia,Ratio of girls to boys in upper secondary education,0.98,21.3
2019,Central Asia,Ratio of girls to boys in primary education,0.99,21.1
2019,Central Asia,Ratio of girls to boys in secondary education,0.99,21.1
2019,Central Asia,Ratio of girls to boys in upper secondary education,1.0,21.1
2020,Central Asia,Ratio of girls to boys in primary education,0.99,25.4
2020,Central Asia,Ratio of girls to boys in secondary education,0.98,25.4
2020,Central Asia,Ratio of girls to boys in upper secondary education,0.98,25.4
2005,Eastern Asia,Ratio of girls to boys in primary education,1.0,18.1
2005,Eastern Asia,Ratio of girls to boys in secondary education,0.98,18.1
2005,Eastern Asia,Ratio of girls to boys in upper secondary education,0.98,18.1
2010,Eastern Asia,Ratio of girls to boys in primary education,0.98,18.7
2010,Eastern Asia,Ratio of girls to boys in secondary education,1.0,18.7
2010,Eastern Asia,Ratio of girls to boys in upper secondary education,0.99,18.7
2015,Eastern Asia,Ratio of girls to boys in primary education,1.0,20.4
2015,Eastern Asia,Ratio of girls to boys in secondary education,1.02,20.4
2015,Eastern Asia,Ratio of girls to boys in upper secondary education,1.04,20.4
2018,Eastern Asia,Ratio of girls to boys in primary education,1.01,20.9
