name,target type,desc,component id
Serotonin 1a (5-HT1a) receptor,SINGLE PROTEIN,Target is a single protein chain,266
Alpha-2a adrenergic receptor,SINGLE PROTEIN,Target is a single protein chain,180
DNA gyrase subunit A,SINGLE PROTEIN,Target is a single protein chain,166
DNA polymerase alpha subunit,SINGLE PROTEIN,Target is a single protein chain,125
Arachidonate 5-lipoxygenase,SINGLE PROTEIN,Target is a single protein chain,168
Androgen Receptor,SINGLE PROTEIN,Target is a single protein chain,187
Retinoic acid receptor alpha,SINGLE PROTEIN,Target is a single protein chain,395
Cytochrome P450 51,SINGLE PROTEIN,Target is a single protein chain,71
Thyroid hormone receptor alpha,SINGLE PROTEIN,Target is a single protein chain,169
Growth hormone receptor,SINGLE PROTEIN,Target is a single protein chain,299
Muscarinic acetylcholine receptor M1,SINGLE PROTEIN,Target is a single protein chain,170
DNA topoisomerase I,SINGLE PROTEIN,Target is a single protein chain,72
DNA topoisomerase II alpha,SINGLE PROTEIN,Target is a single protein chain,100
Vitamin D receptor,SINGLE PROTEIN,Target is a single protein chain,300
Cytochrome P450 19A1,SINGLE PROTEIN,Target is a single protein chain,301
Inosine-5'-monophosphate dehydrogenase 2,SINGLE PROTEIN,Target is a single protein chain,333
Angiotensin-converting enzyme,SINGLE PROTEIN,Target is a single protein chain,102
Dihydrofolate reductase,SINGLE PROTEIN,Target is a single protein chain,260
Farnesyl diphosphate synthase,SINGLE PROTEIN,Target is a single protein chain,73
Dopamine D2 receptor,SINGLE PROTEIN,Target is a single protein chain,129
Tyrosinase,SINGLE PROTEIN,Target is a single protein chain,296
GABA receptor alpha-1 subunit,SINGLE PROTEIN,Target is a single protein chain,23
Cytochrome P450 11B1,SINGLE PROTEIN,Target is a single protein chain,221
Pancreatic lipase,SINGLE PROTEIN,Target is a single protein chain,108
Thyroid stimulating hormone receptor,SINGLE PROTEIN,Target is a single protein chain,286
Steroid 5-alpha-reductase 1,SINGLE PROTEIN,Target is a single protein chain,78
FK506-binding protein 1A,SINGLE PROTEIN,Target is a single protein chain,217
Myeloid cell surface antigen CD33 ,SINGLE PROTEIN,Target is a single protein chain,142
DOPA decarboxylase,SINGLE PROTEIN,Target is a single protein chain,143
Inosine-5'-monophosphate dehydrogenase 1,SINGLE PROTEIN,Target is a single protein chain,118
Monoamine oxidase A,SINGLE PROTEIN,Target is a single protein chain,274
Cannabinoid CB1 receptor,SINGLE PROTEIN,Target is a single protein chain,172
Dopamine D1 receptor,SINGLE PROTEIN,Target is a single protein chain,397
Ryanodine receptor 1,SINGLE PROTEIN,Target is a single protein chain,152
Dopamine D4 receptor,SINGLE PROTEIN,Target is a single protein chain,174
Catechol O-methyltransferase,SINGLE PROTEIN,Target is a single protein chain,356
Acetylcholinesterase,SINGLE PROTEIN,Target is a single protein chain,357
Luteinizing hormone/Choriogonadotropin receptor,SINGLE PROTEIN,Target is a single protein chain,161
Cyclooxygenase-1,SINGLE PROTEIN,Target is a single protein chain,162
Cyclophilin B,SINGLE PROTEIN,Target is a single protein chain,435
Ribonucleoside-diphosphate reductase M1 chain,SINGLE PROTEIN,Target is a single protein chain,128
Follicle stimulating hormone receptor,SINGLE PROTEIN,Target is a single protein chain,358
Norepinephrine transporter,SINGLE PROTEIN,Target is a single protein chain,436
Histamine H2 receptor,SINGLE PROTEIN,Target is a single protein chain,262
Alpha-1d adrenergic receptor,SINGLE PROTEIN,Target is a single protein chain,233
Monoamine oxidase B,SINGLE PROTEIN,Target is a single protein chain,377
Serotonin 1d (5-HT1d) receptor,SINGLE PROTEIN,Target is a single protein chain,307
Serotonin 1b (5-HT1b) receptor,SINGLE PROTEIN,Target is a single protein chain,212
Serotonin 2a (5-HT2a) receptor,SINGLE PROTEIN,Target is a single protein chain,308
Serotonin 2c (5-HT2c) receptor,SINGLE PROTEIN,Target is a single protein chain,309
UDP-N-acetylglucosamine 1-carboxyvinyltransferase,SINGLE PROTEIN,Target is a single protein chain,310
Enoyl-[acyl-carrier-protein] reductase,SINGLE PROTEIN,Target is a single protein chain,165
Inositol-1(or 4)-monophosphatase 1,SINGLE PROTEIN,Target is a single protein chain,77
Vasopressin V2 receptor,SINGLE PROTEIN,Target is a single protein chain,81
GABA transporter 1,SINGLE PROTEIN,Target is a single protein chain,218
Adenosine A1 receptor,SINGLE PROTEIN,Target is a single protein chain,159
Type-1 angiotensin II receptor,SINGLE PROTEIN,Target is a single protein chain,132
Oxytocin receptor,SINGLE PROTEIN,Target is a single protein chain,389
Somatostatin receptor 2,SINGLE PROTEIN,Target is a single protein chain,98
Gonadotropin-releasing hormone receptor,SINGLE PROTEIN,Target is a single protein chain,163
Calcitonin receptor,SINGLE PROTEIN,Target is a single protein chain,131
Steroid 5-alpha-reductase 2,SINGLE PROTEIN,Target is a single protein chain,164
Serotonin transporter,SINGLE PROTEIN,Target is a single protein chain,226
Squalene monooxygenase,SINGLE PROTEIN,Target is a single protein chain,202
4-hydroxyphenylpyruvate dioxygenase,SINGLE PROTEIN,Target is a single protein chain,171
Corticotropin releasing factor receptor 1,SINGLE PROTEIN,Target is a single protein chain,91
Alpha-1a adrenergic receptor,SINGLE PROTEIN,Target is a single protein chain,146
Cyclooxygenase-2,SINGLE PROTEIN,Target is a single protein chain,148
Histamine H1 receptor,SINGLE PROTEIN,Target is a single protein chain,121
Alpha-1b adrenergic receptor,SINGLE PROTEIN,Target is a single protein chain,258
Mu opioid receptor,SINGLE PROTEIN,Target is a single protein chain,349
Dopamine D3 receptor,SINGLE PROTEIN,Target is a single protein chain,149
Sodium channel protein type I alpha subunit,SINGLE PROTEIN,Target is a single protein chain,150
Amiloride-sensitive sodium channel alpha-subunit,SINGLE PROTEIN,Target is a single protein chain,82
Peroxisome proliferator-activated receptor gamma,SINGLE PROTEIN,Target is a single protein chain,241
Vasopressin V1a receptor,SINGLE PROTEIN,Target is a single protein chain,203
Delta opioid receptor,SINGLE PROTEIN,Target is a single protein chain,242
Kappa opioid receptor,SINGLE PROTEIN,Target is a single protein chain,177
Nociceptin receptor,SINGLE PROTEIN,Target is a single protein chain,344
Isoleucyl-tRNA synthetase,SINGLE PROTEIN,Target is a single protein chain,305
Prostanoid FP receptor,SINGLE PROTEIN,Target is a single protein chain,316
Prostanoid EP2 receptor,SINGLE PROTEIN,Target is a single protein chain,197
Prostanoid IP receptor,SINGLE PROTEIN,Target is a single protein chain,325
Serotonin 3a (5-HT3a) receptor,SINGLE PROTEIN,Target is a single protein chain,214
Enoyl-[acyl-carrier-protein] reductase,SINGLE PROTEIN,Target is a single protein chain,155
Glucagon receptor,SINGLE PROTEIN,Target is a single protein chain,311
Secretin receptor,SINGLE PROTEIN,Target is a single protein chain,243
Vasopressin V1b receptor,SINGLE PROTEIN,Target is a single protein chain,237
Xanthine dehydrogenase,SINGLE PROTEIN,Target is a single protein chain,248
Voltage-gated calcium channel alpha2/delta subunit 1,SINGLE PROTEIN,Target is a single protein chain,236
Thiazide-sensitive sodium-chloride cotransporter,SINGLE PROTEIN,Target is a single protein chain,192
Arabinosyltransferase A,SINGLE PROTEIN,Target is a single protein chain,193
Gamma-amino-N-butyrate transaminase,SINGLE PROTEIN,Target is a single protein chain,384
Melanocortin receptor 2,SINGLE PROTEIN,Target is a single protein chain,288
Dopamine transporter,SINGLE PROTEIN,Target is a single protein chain,346
Guanylate cyclase soluble alpha-3 chain,SINGLE PROTEIN,Target is a single protein chain,2114
Dihydroorotate dehydrogenase,SINGLE PROTEIN,Target is a single protein chain,289
Growth hormone-releasing hormone receptor,SINGLE PROTEIN,Target is a single protein chain,369
Cytochrome b,SINGLE PROTEIN,Target is a single protein chain,67
Parathyroid hormone receptor,SINGLE PROTEIN,Target is a single protein chain,84
Glutamate (NMDA) receptor subunit zeta 1,SINGLE PROTEIN,Target is a single protein chain,56
Synaptic vesicular amine transporter,SINGLE PROTEIN,Target is a single protein chain,207
Peroxisome proliferator-activated receptor alpha,SINGLE PROTEIN,Target is a single protein chain,245
Sulfonylurea receptor 1,SINGLE PROTEIN,Target is a single protein chain,412
HERG,SINGLE PROTEIN,Target is a single protein chain,295
Glutamate [NMDA] receptor subunit epsilon 1,SINGLE PROTEIN,Target is a single protein chain,58
Sodium-(potassium)-chloride cotransporter 2,SINGLE PROTEIN,Target is a single protein chain,190
Serotonin 4 (5-HT4) receptor,SINGLE PROTEIN,Target is a single protein chain,191
Voltage-gated L-type calcium channel alpha-1C subunit,SINGLE PROTEIN,Target is a single protein chain,261
Phosphodiesterase 3A,SINGLE PROTEIN,Target is a single protein chain,379
Thioredoxin reductase 1,SINGLE PROTEIN,Target is a single protein chain,246
Estrogen receptor beta,SINGLE PROTEIN,Target is a single protein chain,317
Equilibrative nucleoside transporter 1,SINGLE PROTEIN,Target is a single protein chain,328
Purinergic receptor P2Y12,SINGLE PROTEIN,Target is a single protein chain,332
Cysteinyl leukotriene receptor 1,SINGLE PROTEIN,Target is a single protein chain,89
Cyclophilin A,SINGLE PROTEIN,Target is a single protein chain,272
B-lymphocyte antigen CD20,SINGLE PROTEIN,Target is a single protein chain,399
Interleukin-2 receptor alpha chain,SINGLE PROTEIN,Target is a single protein chain,68
Glutamate carboxypeptidase II,SINGLE PROTEIN,Target is a single protein chain,206
TNF-alpha,SINGLE PROTEIN,Target is a single protein chain,122
Tetanus toxin,SINGLE PROTEIN,Target is a single protein chain,373
Vascular endothelial growth factor A,SINGLE PROTEIN,Target is a single protein chain,74
Receptor protein-tyrosine kinase erbB-2,SINGLE PROTEIN,Target is a single protein chain,120
Leukocyte adhesion glycoprotein LFA-1 alpha,SINGLE PROTEIN,Target is a single protein chain,97
Human immunodeficiency virus type 1 protease,SINGLE PROTEIN,Target is a single protein chain,314
Coagulation factor IX,SINGLE PROTEIN,Target is a single protein chain,347
Coagulation factor X,SINGLE PROTEIN,Target is a single protein chain,348
TNF-beta,SINGLE PROTEIN,Target is a single protein chain,400
T-cell surface antigen CD2,SINGLE PROTEIN,Target is a single protein chain,378
Platelet-derived growth factor receptor beta,SINGLE PROTEIN,Target is a single protein chain,227
Interleukin-1 receptor,SINGLE PROTEIN,Target is a single protein chain,283
Interferon-alpha/beta receptor alpha chain,SINGLE PROTEIN,Target is a single protein chain,201
Erythropoietin receptor,SINGLE PROTEIN,Target is a single protein chain,114
CAMPATH-1 antigen,SINGLE PROTEIN,Target is a single protein chain,225
Interleukin 11 receptor alpha,SINGLE PROTEIN,Target is a single protein chain,390
Granulocyte colony stimulating factor receptor,SINGLE PROTEIN,Target is a single protein chain,327
Elastase 1,SINGLE PROTEIN,Target is a single protein chain,1330
Penicillin-binding protein 1B,SINGLE PROTEIN,Target is a single protein chain,111
Thymidine kinase,SINGLE PROTEIN,Target is a single protein chain,116
Muscarinic acetylcholine receptor M4,SINGLE PROTEIN,Target is a single protein chain,117
Muscarinic acetylcholine receptor M5,SINGLE PROTEIN,Target is a single protein chain,372
Alpha-2b adrenergic receptor,SINGLE PROTEIN,Target is a single protein chain,263
Alpha-2c adrenergic receptor,SINGLE PROTEIN,Target is a single protein chain,230
Muscarinic acetylcholine receptor M3,SINGLE PROTEIN,Target is a single protein chain,69
Dopamine D5 receptor,SINGLE PROTEIN,Target is a single protein chain,156
GABA receptor beta-2 subunit,SINGLE PROTEIN,Target is a single protein chain,47
Glutamate [NMDA] receptor subunit epsilon 2,SINGLE PROTEIN,Target is a single protein chain,59
Ryanodine receptor 3,SINGLE PROTEIN,Target is a single protein chain,5783
Vitamin k epoxide reductase complex subunit 1 isoform 1,SINGLE PROTEIN,Target is a single protein chain,249
Beta-3 adrenergic receptor,SINGLE PROTEIN,Target is a single protein chain,2091
Serotonin 2b (5-HT2b) receptor,SINGLE PROTEIN,Target is a single protein chain,133
Human immunodeficiency virus type 1 reverse transcriptase,SINGLE PROTEIN,Target is a single protein chain,375
Ig epsilon chain C region,SINGLE PROTEIN,Target is a single protein chain,134
Lipoprotein lipase,SINGLE PROTEIN,Target is a single protein chain,401
Insulin-like growth factor I receptor,SINGLE PROTEIN,Target is a single protein chain,281
Leukocyte elastase,SINGLE PROTEIN,Target is a single protein chain,366
Neprilysin,SINGLE PROTEIN,Target is a single protein chain,267
Leukotriene A4 hydrolase,SINGLE PROTEIN,Target is a single protein chain,2935
Stem cell growth factor receptor,SINGLE PROTEIN,Target is a single protein chain,255
Retinoic acid receptor gamma,SINGLE PROTEIN,Target is a single protein chain,334
3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I,SINGLE PROTEIN,Target is a single protein chain,282
Aldose reductase,SINGLE PROTEIN,Target is a single protein chain,215
Aminopeptidase N,SINGLE PROTEIN,Target is a single protein chain,220
Atrial natriuretic peptide receptor A,SINGLE PROTEIN,Target is a single protein chain,318
Renal dipeptidase ,SINGLE PROTEIN,Target is a single protein chain,319
Thromboxane A2 receptor,SINGLE PROTEIN,Target is a single protein chain,409
Endothelin receptor ET-B,SINGLE PROTEIN,Target is a single protein chain,76
Thromboxane-A synthase,SINGLE PROTEIN,Target is a single protein chain,135
Endothelin receptor ET-A,SINGLE PROTEIN,Target is a single protein chain,234
Neurokinin 1 receptor,SINGLE PROTEIN,Target is a single protein chain,235
Platelet activating factor receptor,SINGLE PROTEIN,Target is a single protein chain,127
Adenosine A2a receptor,SINGLE PROTEIN,Target is a single protein chain,326
C-8 sterol isomerase,SINGLE PROTEIN,Target is a single protein chain,1546
Cannabinoid CB2 receptor,SINGLE PROTEIN,Target is a single protein chain,104
Thyrotropin-releasing hormone receptor,SINGLE PROTEIN,Target is a single protein chain,105
Prostanoid EP1 receptor,SINGLE PROTEIN,Target is a single protein chain,106
Prostanoid EP4 receptor,SINGLE PROTEIN,Target is a single protein chain,136
Trypanothione reductase,SINGLE PROTEIN,Target is a single protein chain,137
Thrombopoietin receptor,SINGLE PROTEIN,Target is a single protein chain,176
Retinoid X receptor gamma,SINGLE PROTEIN,Target is a single protein chain,335
Vesicular amine transporter 1,SINGLE PROTEIN,Target is a single protein chain,138
Retinoic acid receptor beta,SINGLE PROTEIN,Target is a single protein chain,339
Thyroid hormone receptor beta-1,SINGLE PROTEIN,Target is a single protein chain,270
Ornithine decarboxylase,SINGLE PROTEIN,Target is a single protein chain,182
Retinoid X receptor alpha,SINGLE PROTEIN,Target is a single protein chain,402
Phosphodiesterase 4A,SINGLE PROTEIN,Target is a single protein chain,306
Retinoid X receptor beta,SINGLE PROTEIN,Target is a single protein chain,183
Adenosine A2b receptor,SINGLE PROTEIN,Target is a single protein chain,184
Serotonin 1f (5-HT1f) receptor,SINGLE PROTEIN,Target is a single protein chain,99
Adenosine A3 receptor,SINGLE PROTEIN,Target is a single protein chain,275
Calcium sensing receptor,SINGLE PROTEIN,Target is a single protein chain,194
Succinate semialdehyde dehydrogenase,SINGLE PROTEIN,Target is a single protein chain,224
"Potassium channel, inwardly rectifying, subfamily J, member 11",SINGLE PROTEIN,Target is a single protein chain,200
Ceramide glucosyltransferase,SINGLE PROTEIN,Target is a single protein chain,403
Histidine-rich protein,SINGLE PROTEIN,Target is a single protein chain,239
Topoisomerase IV subunit A ,SINGLE PROTEIN,Target is a single protein chain,209
DNA (cytosine-5)-methyltransferase 1,SINGLE PROTEIN,Target is a single protein chain,323
DNA (cytosine-5)-methyltransferase 3A,SINGLE PROTEIN,Target is a single protein chain,322
Dihydropteroate synthetase,SINGLE PROTEIN,Target is a single protein chain,343
DNA-directed RNA polymerase beta chain,SINGLE PROTEIN,Target is a single protein chain,337
D-alanylalanine synthetase,SINGLE PROTEIN,Target is a single protein chain,367
Alanine racemase,SINGLE PROTEIN,Target is a single protein chain,368
Niemann-Pick C1-like protein 1,SINGLE PROTEIN,Target is a single protein chain,362
"Beta-1,3-glucan synthase",SINGLE PROTEIN,Target is a single protein chain,374
Neutral sphingomyelinase,SINGLE PROTEIN,Target is a single protein chain,3029
Cathepsin D,SINGLE PROTEIN,Target is a single protein chain,917
"Carboxypeptidase N, catalytic subunit",SINGLE PROTEIN,Target is a single protein chain,3030
Cyclin-dependent kinase 4,SINGLE PROTEIN,Target is a single protein chain,476
Cyclin A2,SINGLE PROTEIN,Target is a single protein chain,918
Kappa opioid receptor,SINGLE PROTEIN,Target is a single protein chain,2646
Orexin receptor 1,SINGLE PROTEIN,Target is a single protein chain,3418
P2X purinoceptor 2,SINGLE PROTEIN,Target is a single protein chain,477
Voltage-gated potassium channel subunit Kv7.1,SINGLE PROTEIN,Target is a single protein chain,3439
Pyrimidinergic receptor P2Y6,SINGLE PROTEIN,Target is a single protein chain,3031
Phospholipase A2 group 1B,SINGLE PROTEIN,Target is a single protein chain,3032
Platelet activating factor receptor,SINGLE PROTEIN,Target is a single protein chain,3440
Cysteinyl leukotriene receptor 2,SINGLE PROTEIN,Target is a single protein chain,2647
Phosphodiesterase 7B,SINGLE PROTEIN,Target is a single protein chain,3033
Pepsinogen C,SINGLE PROTEIN,Target is a single protein chain,478
"Serine/threonine protein phosphatase 2A, 56 kDa regulatory subunit, alpha isoform",SINGLE PROTEIN,Target is a single protein chain,3079
Serotonin 2b (5-HT2b) receptor,SINGLE PROTEIN,Target is a single protein chain,919
Serotonin 7 (5-HT7) receptor,SINGLE PROTEIN,Target is a single protein chain,3080
Neuronal acetylcholine receptor protein alpha-2 subunit,SINGLE PROTEIN,Target is a single protein chain,18
Neuronal acetylcholine receptor protein alpha-9 subunit,SINGLE PROTEIN,Target is a single protein chain,920
Angiotensin II type 2 (AT-2) receptor,SINGLE PROTEIN,Target is a single protein chain,2648
Beta-lactamase AmpC,SINGLE PROTEIN,Target is a single protein chain,361
Proto-oncogene c-JUN,SINGLE PROTEIN,Target is a single protein chain,3289
Apolipoprotein B-100 ,SINGLE PROTEIN,Target is a single protein chain,2866
Beta-2 adrenergic receptor,SINGLE PROTEIN,Target is a single protein chain,1696
Bcl2-antagonist of cell death (BAD),SINGLE PROTEIN,Target is a single protein chain,2136
Beta-lactamase,SINGLE PROTEIN,Target is a single protein chain,2432
Bradykinin B2 receptor,SINGLE PROTEIN,Target is a single protein chain,1482
Insulin-like growth factor binding protein 6,SINGLE PROTEIN,Target is a single protein chain,481
Interleukin-2,SINGLE PROTEIN,Target is a single protein chain,807
Interleukin-8,SINGLE PROTEIN,Target is a single protein chain,499
Thyrotropin-releasing hormone receptor,SINGLE PROTEIN,Target is a single protein chain,808
Isopenicillin N synthetase,SINGLE PROTEIN,Target is a single protein chain,1483
Trypsin II,SINGLE PROTEIN,Target is a single protein chain,1484
Casein kinase II alpha,SINGLE PROTEIN,Target is a single protein chain,1946
Thymidylate synthase,SINGLE PROTEIN,Target is a single protein chain,1485
ADP-ribosyltransferase,SINGLE PROTEIN,Target is a single protein chain,500
Nucleoside diphosphate kinase 1,SINGLE PROTEIN,Target is a single protein chain,501
Nucleoside diphosphate kinase 2,SINGLE PROTEIN,Target is a single protein chain,502
Death-associated protein kinase 3,SINGLE PROTEIN,Target is a single protein chain,809
HLA class II histocompatibility antigen DRB3-1,SINGLE PROTEIN,Target is a single protein chain,1781
Glutathione transferase omega 2,SINGLE PROTEIN,Target is a single protein chain,4955
Uridine-cytidine kinase 2,SINGLE PROTEIN,Target is a single protein chain,810
DNA-dependent protein kinase,SINGLE PROTEIN,Target is a single protein chain,1467
Cannabinoid CB2 receptor,SINGLE PROTEIN,Target is a single protein chain,811
Melanocortin receptor 4,SINGLE PROTEIN,Target is a single protein chain,2035
Vesicular acetylcholine transporter,SINGLE PROTEIN,Target is a single protein chain,1633
Methionine aminopeptidase,SINGLE PROTEIN,Target is a single protein chain,1745
Kallikrein 2,SINGLE PROTEIN,Target is a single protein chain,783
Kallikrein 7,SINGLE PROTEIN,Target is a single protein chain,784
Gastric lipase,SINGLE PROTEIN,Target is a single protein chain,87
Chymase,SINGLE PROTEIN,Target is a single protein chain,2387
Renal dipeptidase ,SINGLE PROTEIN,Target is a single protein chain,5240
Vitamin D-binding protein,SINGLE PROTEIN,Target is a single protein chain,504
Corticotropin releasing factor receptor 1,SINGLE PROTEIN,Target is a single protein chain,787
1-acylglycerol-3-phosphate O-acyltransferase alpha,SINGLE PROTEIN,Target is a single protein chain,1903
Alpha-chymotrypsin,SINGLE PROTEIN,Target is a single protein chain,1634
Serine/threonine protein phosphatase PP1-alpha catalytic subunit,SINGLE PROTEIN,Target is a single protein chain,505
Dopamine D4 receptor,SINGLE PROTEIN,Target is a single protein chain,911
Deoxycytidine kinase,SINGLE PROTEIN,Target is a single protein chain,788
Deoxycytidylate deaminase,SINGLE PROTEIN,Target is a single protein chain,789
Peptide deformylase mitochondrial,SINGLE PROTEIN,Target is a single protein chain,2965
Peptide deformylase,SINGLE PROTEIN,Target is a single protein chain,3288
Transforming protein p21/H-Ras-1 ,SINGLE PROTEIN,Target is a single protein chain,508
Dihydrofolate reductase,SINGLE PROTEIN,Target is a single protein chain,670
Dihydrofolate reductase,SINGLE PROTEIN,Target is a single protein chain,912
Dihydrofolate reductase,SINGLE PROTEIN,Target is a single protein chain,913
Immunoglobulin epsilon Fc receptor,SINGLE PROTEIN,Target is a single protein chain,1271
Acidic fibroblast growth factor,SINGLE PROTEIN,Target is a single protein chain,462
5-lipoxygenase activating protein,SINGLE PROTEIN,Target is a single protein chain,2867
Folate receptor alpha,SINGLE PROTEIN,Target is a single protein chain,463
Glyceraldehyde-3-phosphate dehydrogenase cytosolic,SINGLE PROTEIN,Target is a single protein chain,2456
Geranylgeranyl pyrophosphate synthetase,SINGLE PROTEIN,Target is a single protein chain,3085
Scytalone dehydratase ,SINGLE PROTEIN,Target is a single protein chain,915
Growth factor receptor-bound protein 2,SINGLE PROTEIN,Target is a single protein chain,3147
Somatostatin receptor 2,SINGLE PROTEIN,Target is a single protein chain,1309
Aryl sulfotransferase,SINGLE PROTEIN,Target is a single protein chain,3202
Histamine H2 receptor,SINGLE PROTEIN,Target is a single protein chain,1211
Estrogen sulfotransferase 3,SINGLE PROTEIN,Target is a single protein chain,3148
Human immunodeficiency virus type 1 Tat protein,SINGLE PROTEIN,Target is a single protein chain,2926
MAP kinase p38 beta,SINGLE PROTEIN,Target is a single protein chain,2280
Trypsin III,SINGLE PROTEIN,Target is a single protein chain,2868
Folate transporter 1,SINGLE PROTEIN,Target is a single protein chain,5790
Alcohol sulfotransferase,SINGLE PROTEIN,Target is a single protein chain,414
"Thymidine kinase, cytosolic",SINGLE PROTEIN,Target is a single protein chain,1212
Cytosolic phospholipase A2 gamma,SINGLE PROTEIN,Target is a single protein chain,3150
Caspase-3,SINGLE PROTEIN,Target is a single protein chain,675
Cellular retinoic acid-binding protein I,SINGLE PROTEIN,Target is a single protein chain,416
Estrogen-related receptor alpha,SINGLE PROTEIN,Target is a single protein chain,1751
LDL-associated phospholipase A2,SINGLE PROTEIN,Target is a single protein chain,1835
Carbonic anhydrase III,SINGLE PROTEIN,Target is a single protein chain,1214
Tyrosine-protein kinase LCK,SINGLE PROTEIN,Target is a single protein chain,382
L-lactate dehydrogenase A chain,SINGLE PROTEIN,Target is a single protein chain,3151
Melanocortin receptor 4,SINGLE PROTEIN,Target is a single protein chain,1215
Neuropeptide Y receptor type 4,SINGLE PROTEIN,Target is a single protein chain,3193
Bone morphogenetic protein 1,SINGLE PROTEIN,Target is a single protein chain,2218
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 2,SINGLE PROTEIN,Target is a single protein chain,3236
Cytochrome P450 1B1,SINGLE PROTEIN,Target is a single protein chain,3194
Fatty acid binding protein intestinal,SINGLE PROTEIN,Target is a single protein chain,3195
UDP-3-O-acyl-GlcNAc deacetylase,SINGLE PROTEIN,Target is a single protein chain,2172
Hypoxanthine-guanine phosphoribosyltransferase,SINGLE PROTEIN,Target is a single protein chain,701
Voltage-gated potassium channel beta subunit Mink,SINGLE PROTEIN,Target is a single protein chain,3188
Triosephosphate isomerase,SINGLE PROTEIN,Target is a single protein chain,3196
Serum paraoxonase/arylesterase 1,SINGLE PROTEIN,Target is a single protein chain,1492
Hemoglobin alpha subunit,SINGLE PROTEIN,Target is a single protein chain,1217
Glutathione S-transferase Mu 1,SINGLE PROTEIN,Target is a single protein chain,418
Alcohol dehydrogenase class III,SINGLE PROTEIN,Target is a single protein chain,2434
Aldehyde dehydrogenase X,SINGLE PROTEIN,Target is a single protein chain,3197
Cytochrome P450 2C8,SINGLE PROTEIN,Target is a single protein chain,2037
Metabotropic glutamate receptor 3,SINGLE PROTEIN,Target is a single protein chain,1218
Glutathione S-transferase Mu 2 ,SINGLE PROTEIN,Target is a single protein chain,2906
Quinone reductase 2,SINGLE PROTEIN,Target is a single protein chain,2278
