name,target type,desc,component id
Alpha-1d adrenergic receptor,SINGLE PROTEIN,233,233
Monoamine oxidase B,SINGLE PROTEIN,377,377
Serotonin 1d (5-HT1d) receptor,SINGLE PROTEIN,307,307
Serotonin 1b (5-HT1b) receptor,SINGLE PROTEIN,212,212
Serotonin 2a (5-HT2a) receptor,SINGLE PROTEIN,308,308
Serotonin 2c (5-HT2c) receptor,SINGLE PROTEIN,309,309
UDP-N-acetylglucosamine 1-carboxyvinyltransferase,SINGLE PROTEIN,310,310
Enoyl-[acyl-carrier-protein] reductase,SINGLE PROTEIN,165,165
Inositol-1(or 4)-monophosphatase 1,SINGLE PROTEIN,77,77
Vasopressin V2 receptor,SINGLE PROTEIN,81,81
GABA transporter 1,SINGLE PROTEIN,218,218
Adenosine A1 receptor,SINGLE PROTEIN,159,159
Type-1 angiotensin II receptor,SINGLE PROTEIN,132,132
Oxytocin receptor,SINGLE PROTEIN,389,389
Somatostatin receptor 2,SINGLE PROTEIN,98,98
Gonadotropin-releasing hormone receptor,SINGLE PROTEIN,163,163
Calcitonin receptor,SINGLE PROTEIN,131,131
Steroid 5-alpha-reductase 2,SINGLE PROTEIN,164,164
Serotonin transporter,SINGLE PROTEIN,226,226
Squalene monooxygenase,SINGLE PROTEIN,202,202
4-hydroxyphenylpyruvate dioxygenase,SINGLE PROTEIN,171,171
Corticotropin releasing factor receptor 1,SINGLE PROTEIN,91,91
Alpha-1a adrenergic receptor,SINGLE PROTEIN,146,146
Cyclooxygenase-2,SINGLE PROTEIN,148,148
Histamine H1 receptor,SINGLE PROTEIN,121,121
Alpha-1b adrenergic receptor,SINGLE PROTEIN,258,258
Mu opioid receptor,SINGLE PROTEIN,349,349
Dopamine D3 receptor,SINGLE PROTEIN,149,149
Sodium channel protein type I alpha subunit,SINGLE PROTEIN,150,150
Amiloride-sensitive sodium channel alpha-subunit,SINGLE PROTEIN,82,82
Peroxisome proliferator-activated receptor gamma,SINGLE PROTEIN,241,241
Vasopressin V1a receptor,SINGLE PROTEIN,203,203
Delta opioid receptor,SINGLE PROTEIN,242,242
Kappa opioid receptor,SINGLE PROTEIN,177,177
Nociceptin receptor,SINGLE PROTEIN,344,344
Isoleucyl-tRNA synthetase,SINGLE PROTEIN,305,305
Prostanoid FP receptor,SINGLE PROTEIN,316,316
Prostanoid EP2 receptor,SINGLE PROTEIN,197,197
Prostanoid IP receptor,SINGLE PROTEIN,325,325
Serotonin 3a (5-HT3a) receptor,SINGLE PROTEIN,214,214
Enoyl-[acyl-carrier-protein] reductase,SINGLE PROTEIN,155,155
Glucagon receptor,SINGLE PROTEIN,311,311
Secretin receptor,SINGLE PROTEIN,243,243
Vasopressin V1b receptor,SINGLE PROTEIN,237,237
Xanthine dehydrogenase,SINGLE PROTEIN,248,248
Voltage-gated calcium channel alpha2/delta subunit 1,SINGLE PROTEIN,236,236
Thiazide-sensitive sodium-chloride cotransporter,SINGLE PROTEIN,192,192
Arabinosyltransferase A,SINGLE PROTEIN,193,193
Gamma-amino-N-butyrate transaminase,SINGLE PROTEIN,384,384
Melanocortin receptor 2,SINGLE PROTEIN,288,288
Dopamine transporter,SINGLE PROTEIN,346,346
Guanylate cyclase soluble alpha-3 chain,SINGLE PROTEIN,2114,2114
Dihydroorotate dehydrogenase,SINGLE PROTEIN,289,289
Growth hormone-releasing hormone receptor,SINGLE PROTEIN,369,369
Cytochrome b,SINGLE PROTEIN,67,67
Parathyroid hormone receptor,SINGLE PROTEIN,84,84
Glutamate (NMDA) receptor subunit zeta 1,SINGLE PROTEIN,56,56
Synaptic vesicular amine transporter,SINGLE PROTEIN,207,207
Peroxisome proliferator-activated receptor alpha,SINGLE PROTEIN,245,245
Sulfonylurea receptor 1,SINGLE PROTEIN,412,412
HERG,SINGLE PROTEIN,295,295
Glutamate [NMDA] receptor subunit epsilon 1,SINGLE PROTEIN,58,58
Sodium-(potassium)-chloride cotransporter 2,SINGLE PROTEIN,190,190
Serotonin 4 (5-HT4) receptor,SINGLE PROTEIN,191,191
Voltage-gated L-type calcium channel alpha-1C subunit,SINGLE PROTEIN,261,261
Phosphodiesterase 3A,SINGLE PROTEIN,379,379
Thioredoxin reductase 1,SINGLE PROTEIN,246,246
Estrogen receptor beta,SINGLE PROTEIN,317,317
Equilibrative nucleoside transporter 1,SINGLE PROTEIN,328,328
Purinergic receptor P2Y12,SINGLE PROTEIN,332,332
Cysteinyl leukotriene receptor 1,SINGLE PROTEIN,89,89
Cyclophilin A,SINGLE PROTEIN,272,272
B-lymphocyte antigen CD20,SINGLE PROTEIN,399,399
Interleukin-2 receptor alpha chain,SINGLE PROTEIN,68,68
Glutamate carboxypeptidase II,SINGLE PROTEIN,206,206
TNF-alpha,SINGLE PROTEIN,122,122
Tetanus toxin,SINGLE PROTEIN,373,373
Vascular endothelial growth factor A,SINGLE PROTEIN,74,74
Receptor protein-tyrosine kinase erbB-2,SINGLE PROTEIN,120,120
Leukocyte adhesion glycoprotein LFA-1 alpha,SINGLE PROTEIN,97,97
Human immunodeficiency virus type 1 protease,SINGLE PROTEIN,314,314
Coagulation factor IX,SINGLE PROTEIN,347,347
Coagulation factor X,SINGLE PROTEIN,348,348
TNF-beta,SINGLE PROTEIN,400,400
T-cell surface antigen CD2,SINGLE PROTEIN,378,378
Platelet-derived growth factor receptor beta,SINGLE PROTEIN,227,227
Interleukin-1 receptor,SINGLE PROTEIN,283,283
Interferon-alpha/beta receptor alpha chain,SINGLE PROTEIN,201,201
Erythropoietin receptor,SINGLE PROTEIN,114,114
CAMPATH-1 antigen,SINGLE PROTEIN,225,225
Interleukin 11 receptor alpha,SINGLE PROTEIN,390,390
Granulocyte colony stimulating factor receptor,SINGLE PROTEIN,327,327
Elastase 1,SINGLE PROTEIN,1330,1330
Penicillin-binding protein 1B,SINGLE PROTEIN,111,111
Thymidine kinase,SINGLE PROTEIN,116,116
Muscarinic acetylcholine receptor M4,SINGLE PROTEIN,117,117
Muscarinic acetylcholine receptor M5,SINGLE PROTEIN,372,372
Alpha-2b adrenergic receptor,SINGLE PROTEIN,263,263
Alpha-2c adrenergic receptor,SINGLE PROTEIN,230,230
Muscarinic acetylcholine receptor M3,SINGLE PROTEIN,69,69
Dopamine D5 receptor,SINGLE PROTEIN,156,156
GABA receptor beta-2 subunit,SINGLE PROTEIN,47,47
Glutamate [NMDA] receptor subunit epsilon 2,SINGLE PROTEIN,59,59
Ryanodine receptor 3,SINGLE PROTEIN,5783,5783
Vitamin k epoxide reductase complex subunit 1 isoform 1,SINGLE PROTEIN,249,249
Beta-3 adrenergic receptor,SINGLE PROTEIN,2091,2091
Serotonin 2b (5-HT2b) receptor,SINGLE PROTEIN,133,133
Human immunodeficiency virus type 1 reverse transcriptase,SINGLE PROTEIN,375,375
Ig epsilon chain C region,SINGLE PROTEIN,134,134
Lipoprotein lipase,SINGLE PROTEIN,401,401
Insulin-like growth factor I receptor,SINGLE PROTEIN,281,281
Leukocyte elastase,SINGLE PROTEIN,366,366
Neprilysin,SINGLE PROTEIN,267,267
Leukotriene A4 hydrolase,SINGLE PROTEIN,2935,2935
Stem cell growth factor receptor,SINGLE PROTEIN,255,255
Retinoic acid receptor gamma,SINGLE PROTEIN,334,334
3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I,SINGLE PROTEIN,282,282
Aldose reductase,SINGLE PROTEIN,215,215
Aminopeptidase N,SINGLE PROTEIN,220,220
Atrial natriuretic peptide receptor A,SINGLE PROTEIN,318,318
Renal dipeptidase ,SINGLE PROTEIN,319,319
Thromboxane A2 receptor,SINGLE PROTEIN,409,409
Endothelin receptor ET-B,SINGLE PROTEIN,76,76
Thromboxane-A synthase,SINGLE PROTEIN,135,135
Endothelin receptor ET-A,SINGLE PROTEIN,234,234
Neurokinin 1 receptor,SINGLE PROTEIN,235,235
Platelet activating factor receptor,SINGLE PROTEIN,127,127
Adenosine A2a receptor,SINGLE PROTEIN,326,326
C-8 sterol isomerase,SINGLE PROTEIN,1546,1546
Cannabinoid CB2 receptor,SINGLE PROTEIN,104,104
Thyrotropin-releasing hormone receptor,SINGLE PROTEIN,105,105
Prostanoid EP1 receptor,SINGLE PROTEIN,106,106
Prostanoid EP4 receptor,SINGLE PROTEIN,136,136
Trypanothione reductase,SINGLE PROTEIN,137,137
Thrombopoietin receptor,SINGLE PROTEIN,176,176
Retinoid X receptor gamma,SINGLE PROTEIN,335,335
Vesicular amine transporter 1,SINGLE PROTEIN,138,138
Retinoic acid receptor beta,SINGLE PROTEIN,339,339
Thyroid hormone receptor beta-1,SINGLE PROTEIN,270,270
Ornithine decarboxylase,SINGLE PROTEIN,182,182
Retinoid X receptor alpha,SINGLE PROTEIN,402,402
Phosphodiesterase 4A,SINGLE PROTEIN,306,306
Retinoid X receptor beta,SINGLE PROTEIN,183,183
Adenosine A2b receptor,SINGLE PROTEIN,184,184
Serotonin 1f (5-HT1f) receptor,SINGLE PROTEIN,99,99
Adenosine A3 receptor,SINGLE PROTEIN,275,275
Calcium sensing receptor,SINGLE PROTEIN,194,194
Succinate semialdehyde dehydrogenase,SINGLE PROTEIN,224,224
"Potassium channel, inwardly rectifying, subfamily J, member 11",SINGLE PROTEIN,200,200
Ceramide glucosyltransferase,SINGLE PROTEIN,403,403
Histidine-rich protein,SINGLE PROTEIN,239,239
Topoisomerase IV subunit A ,SINGLE PROTEIN,209,209
DNA (cytosine-5)-methyltransferase 1,SINGLE PROTEIN,323,323
DNA (cytosine-5)-methyltransferase 3A,SINGLE PROTEIN,322,322
Dihydropteroate synthetase,SINGLE PROTEIN,343,343
DNA-directed RNA polymerase beta chain,SINGLE PROTEIN,337,337
D-alanylalanine synthetase,SINGLE PROTEIN,367,367
Alanine racemase,SINGLE PROTEIN,368,368
Niemann-Pick C1-like protein 1,SINGLE PROTEIN,362,362
"Beta-1,3-glucan synthase",SINGLE PROTEIN,374,374
Neutral sphingomyelinase,SINGLE PROTEIN,3029,3029
Cathepsin D,SINGLE PROTEIN,917,917
"Carboxypeptidase N, catalytic subunit",SINGLE PROTEIN,3030,3030
Cyclin-dependent kinase 4,SINGLE PROTEIN,476,476
Cyclin A2,SINGLE PROTEIN,918,918
Kappa opioid receptor,SINGLE PROTEIN,2646,2646
Orexin receptor 1,SINGLE PROTEIN,3418,3418
P2X purinoceptor 2,SINGLE PROTEIN,477,477
Voltage-gated potassium channel subunit Kv7.1,SINGLE PROTEIN,3439,3439
Pyrimidinergic receptor P2Y6,SINGLE PROTEIN,3031,3031
Phospholipase A2 group 1B,SINGLE PROTEIN,3032,3032
Platelet activating factor receptor,SINGLE PROTEIN,3440,3440
Cysteinyl leukotriene receptor 2,SINGLE PROTEIN,2647,2647
Phosphodiesterase 7B,SINGLE PROTEIN,3033,3033
Pepsinogen C,SINGLE PROTEIN,478,478
"Serine/threonine protein phosphatase 2A, 56 kDa regulatory subunit, alpha isoform",SINGLE PROTEIN,3079,3079
Serotonin 2b (5-HT2b) receptor,SINGLE PROTEIN,919,919
Serotonin 7 (5-HT7) receptor,SINGLE PROTEIN,3080,3080
Neuronal acetylcholine receptor protein alpha-2 subunit,SINGLE PROTEIN,18,18
Neuronal acetylcholine receptor protein alpha-9 subunit,SINGLE PROTEIN,920,920
Angiotensin II type 2 (AT-2) receptor,SINGLE PROTEIN,2648,2648
Beta-lactamase AmpC,SINGLE PROTEIN,361,361
Proto-oncogene c-JUN,SINGLE PROTEIN,3289,3289
Apolipoprotein B-100 ,SINGLE PROTEIN,2866,2866
Beta-2 adrenergic receptor,SINGLE PROTEIN,1696,1696
Bcl2-antagonist of cell death (BAD),SINGLE PROTEIN,2136,2136
Beta-lactamase,SINGLE PROTEIN,2432,2432
Bradykinin B2 receptor,SINGLE PROTEIN,1482,1482
Insulin-like growth factor binding protein 6,SINGLE PROTEIN,481,481
Interleukin-2,SINGLE PROTEIN,807,807
Interleukin-8,SINGLE PROTEIN,499,499
Thyrotropin-releasing hormone receptor,SINGLE PROTEIN,808,808
Isopenicillin N synthetase,SINGLE PROTEIN,1483,1483
Trypsin II,SINGLE PROTEIN,1484,1484
Casein kinase II alpha,SINGLE PROTEIN,1946,1946
Thymidylate synthase,SINGLE PROTEIN,1485,1485
ADP-ribosyltransferase,SINGLE PROTEIN,500,500
Nucleoside diphosphate kinase 1,SINGLE PROTEIN,501,501
Nucleoside diphosphate kinase 2,SINGLE PROTEIN,502,502
Death-associated protein kinase 3,SINGLE PROTEIN,809,809
HLA class II histocompatibility antigen DRB3-1,SINGLE PROTEIN,1781,1781
Glutathione transferase omega 2,SINGLE PROTEIN,4955,4955
Uridine-cytidine kinase 2,SINGLE PROTEIN,810,810
DNA-dependent protein kinase,SINGLE PROTEIN,1467,1467
Cannabinoid CB2 receptor,SINGLE PROTEIN,811,811
Melanocortin receptor 4,SINGLE PROTEIN,2035,2035
Vesicular acetylcholine transporter,SINGLE PROTEIN,1633,1633
Methionine aminopeptidase,SINGLE PROTEIN,1745,1745
Kallikrein 2,SINGLE PROTEIN,783,783
Kallikrein 7,SINGLE PROTEIN,784,784
Gastric lipase,SINGLE PROTEIN,87,87
Chymase,SINGLE PROTEIN,2387,2387
Renal dipeptidase ,SINGLE PROTEIN,5240,5240
Vitamin D-binding protein,SINGLE PROTEIN,504,504
Corticotropin releasing factor receptor 1,SINGLE PROTEIN,787,787
1-acylglycerol-3-phosphate O-acyltransferase alpha,SINGLE PROTEIN,1903,1903
Alpha-chymotrypsin,SINGLE PROTEIN,1634,1634
Serine/threonine protein phosphatase PP1-alpha catalytic subunit,SINGLE PROTEIN,505,505
Dopamine D4 receptor,SINGLE PROTEIN,911,911
Deoxycytidine kinase,SINGLE PROTEIN,788,788
Deoxycytidylate deaminase,SINGLE PROTEIN,789,789
Peptide deformylase mitochondrial,SINGLE PROTEIN,2965,2965
Peptide deformylase,SINGLE PROTEIN,3288,3288
Transforming protein p21/H-Ras-1 ,SINGLE PROTEIN,508,508
Dihydrofolate reductase,SINGLE PROTEIN,670,670
Dihydrofolate reductase,SINGLE PROTEIN,912,912
Dihydrofolate reductase,SINGLE PROTEIN,913,913
Immunoglobulin epsilon Fc receptor,SINGLE PROTEIN,1271,1271
Acidic fibroblast growth factor,SINGLE PROTEIN,462,462
5-lipoxygenase activating protein,SINGLE PROTEIN,2867,2867
Folate receptor alpha,SINGLE PROTEIN,463,463
Glyceraldehyde-3-phosphate dehydrogenase cytosolic,SINGLE PROTEIN,2456,2456
Geranylgeranyl pyrophosphate synthetase,SINGLE PROTEIN,3085,3085
Scytalone dehydratase ,SINGLE PROTEIN,915,915
Growth factor receptor-bound protein 2,SINGLE PROTEIN,3147,3147
Somatostatin receptor 2,SINGLE PROTEIN,1309,1309
Aryl sulfotransferase,SINGLE PROTEIN,3202,3202
Histamine H2 receptor,SINGLE PROTEIN,1211,1211
Estrogen sulfotransferase 3,SINGLE PROTEIN,3148,3148
Human immunodeficiency virus type 1 Tat protein,SINGLE PROTEIN,2926,2926
MAP kinase p38 beta,SINGLE PROTEIN,2280,2280
Trypsin III,SINGLE PROTEIN,2868,2868
Folate transporter 1,SINGLE PROTEIN,5790,5790
Alcohol sulfotransferase,SINGLE PROTEIN,414,414
"Thymidine kinase, cytosolic",SINGLE PROTEIN,1212,1212
Cytosolic phospholipase A2 gamma,SINGLE PROTEIN,3150,3150
Caspase-3,SINGLE PROTEIN,675,675
Cellular retinoic acid-binding protein I,SINGLE PROTEIN,416,416
Estrogen-related receptor alpha,SINGLE PROTEIN,1751,1751
LDL-associated phospholipase A2,SINGLE PROTEIN,1835,1835
Carbonic anhydrase III,SINGLE PROTEIN,1214,1214
Tyrosine-protein kinase LCK,SINGLE PROTEIN,382,382
L-lactate dehydrogenase A chain,SINGLE PROTEIN,3151,3151
Melanocortin receptor 4,SINGLE PROTEIN,1215,1215
Neuropeptide Y receptor type 4,SINGLE PROTEIN,3193,3193
Bone morphogenetic protein 1,SINGLE PROTEIN,2218,2218
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 2,SINGLE PROTEIN,3236,3236
Cytochrome P450 1B1,SINGLE PROTEIN,3194,3194
Fatty acid binding protein intestinal,SINGLE PROTEIN,3195,3195
UDP-3-O-acyl-GlcNAc deacetylase,SINGLE PROTEIN,2172,2172
Hypoxanthine-guanine phosphoribosyltransferase,SINGLE PROTEIN,701,701
Voltage-gated potassium channel beta subunit Mink,SINGLE PROTEIN,3188,3188
Triosephosphate isomerase,SINGLE PROTEIN,3196,3196
Serum paraoxonase/arylesterase 1,SINGLE PROTEIN,1492,1492
Hemoglobin alpha subunit,SINGLE PROTEIN,1217,1217
Glutathione S-transferase Mu 1,SINGLE PROTEIN,418,418
Alcohol dehydrogenase class III,SINGLE PROTEIN,2434,2434
Aldehyde dehydrogenase X,SINGLE PROTEIN,3197,3197
Cytochrome P450 2C8,SINGLE PROTEIN,2037,2037
Metabotropic glutamate receptor 3,SINGLE PROTEIN,1218,1218
Glutathione S-transferase Mu 2 ,SINGLE PROTEIN,2906,2906
Quinone reductase 2,SINGLE PROTEIN,2278,2278
Vacuolar H(+)-ATPase,SINGLE PROTEIN,3116,3116
Phosphodiesterase 1A,SINGLE PROTEIN,1743,1743
Voltage-gated potassium channel subunit Kv7.2,SINGLE PROTEIN,1316,1316
Urokinase plasminogen activator surface receptor,SINGLE PROTEIN,3199,3199
Somatostatin receptor 4,SINGLE PROTEIN,160,160
Neurokinin 2 receptor,SINGLE PROTEIN,668,668
Adenosine kinase,SINGLE PROTEIN,1909,1909
Carbonic anhydrase VI,SINGLE PROTEIN,1353,1353
Caspase-2,SINGLE PROTEIN,3200,3200
MAP kinase p38 alpha,SINGLE PROTEIN,2937,2937
Fatty acid binding protein adipocyte,SINGLE PROTEIN,420,420
Galanin receptor 1,SINGLE PROTEIN,3210,3210
Adenylate kinase 2,SINGLE PROTEIN,3251,3251
Asialoglycoprotein receptor 1,SINGLE PROTEIN,421,421
Carbonic anhydrase I,SINGLE PROTEIN,702,702
Glycogen synthase kinase-3 beta,SINGLE PROTEIN,3114,3114
Voltage-gated potassium channel subunit Kv1.5,SINGLE PROTEIN,2623,2623
L-lactate dehydrogenase B chain,SINGLE PROTEIN,3253,3253
Macrophage migration inhibitory factor,SINGLE PROTEIN,422,422
S-methyl-5-thioadenosine phosphorylase,SINGLE PROTEIN,3254,3254
P2X purinoceptor 5,SINGLE PROTEIN,3255,3255
DNA polymerase beta,SINGLE PROTEIN,734,734
cAMP-dependent protein kinase beta-1 catalytic subunit,SINGLE PROTEIN,1248,1248
Kallikrein 12,SINGLE PROTEIN,3256,3256
Serotonin 7 (5-HT7) receptor,SINGLE PROTEIN,1480,1480
Coagulation factor VIII,SINGLE PROTEIN,1468,1468
Coagulation factor III,SINGLE PROTEIN,791,791
Elastase 1,SINGLE PROTEIN,1838,1838
Protein kinase C zeta,SINGLE PROTEIN,1760,1760
Subtilisin/kexin type 4,SINGLE PROTEIN,3177,3177
Alcohol dehydrogenase alpha chain,SINGLE PROTEIN,3178,3178
Carbonic anhydrase II,SINGLE PROTEIN,3024,3024
Xaa-Pro aminopeptidase 1,SINGLE PROTEIN,2100,2100
Choline acetylase,SINGLE PROTEIN,2359,2359
Matrix metalloproteinase 26,SINGLE PROTEIN,3025,3025
GABA-B receptor 1,SINGLE PROTEIN,404,404
Aminopeptidase B,SINGLE PROTEIN,793,793
Neuropeptide Y receptor type 4,SINGLE PROTEIN,3144,3144
cyclic AMP phosphoprotein,SINGLE PROTEIN,511,511
Dual specificity mitogen-activated protein kinase kinase 6,SINGLE PROTEIN,512,512
Caspase-8,SINGLE PROTEIN,2094,2094
Thymidylate kinase,SINGLE PROTEIN,703,703
NH(3)-dependent NAD(+) synthetase,SINGLE PROTEIN,2932,2932
"Myosin light chain kinase, smooth muscle",SINGLE PROTEIN,769,769
Carbonic anhydrase VII,SINGLE PROTEIN,557,557
TNF-alpha,SINGLE PROTEIN,5791,5791
Glutathione S-transferase theta 1,SINGLE PROTEIN,764,764
Spermidine synthase,SINGLE PROTEIN,770,770
Leukotriene C4 synthase,SINGLE PROTEIN,513,513
Carnitine/acylcarnitine translocase,SINGLE PROTEIN,514,514
FK506-binding protein 1B,SINGLE PROTEIN,771,771
T-cell protein-tyrosine phosphatase,SINGLE PROTEIN,2125,2125
Vanilloid receptor,SINGLE PROTEIN,3111,3111
Casein kinase I gamma 1,SINGLE PROTEIN,767,767
Fibroblast growth factor receptor 2,SINGLE PROTEIN,2461,2461
Fibroblast growth factor receptor 1,SINGLE PROTEIN,1966,1966
Glyoxalase I,SINGLE PROTEIN,516,516
Phosphatidylinositol synthase,SINGLE PROTEIN,517,517
Type-1B angiotensin II receptor,SINGLE PROTEIN,1661,1661
Gonadotropin-releasing hormone receptor,SINGLE PROTEIN,1394,1394
P2X purinoceptor 3,SINGLE PROTEIN,3141,3141
"AMP-activated protein kinase, beta-1 subunit",SINGLE PROTEIN,2164,2164
Serine/threonine-protein kinase MST2,SINGLE PROTEIN,4962,4962
Glyoxalase I,SINGLE PROTEIN,765,765
Indolethylamine N-methyltransferase,SINGLE PROTEIN,473,473
Histamine H3 receptor,SINGLE PROTEIN,2467,2467
Beta-2 adrenergic receptor,SINGLE PROTEIN,2022,2022
Mast cell protease 9,SINGLE PROTEIN,474,474
Interleukin-2 receptor alpha chain,SINGLE PROTEIN,1608,1608
Atrial natriuretic peptide receptor C,SINGLE PROTEIN,3028,3028
Ryanodine receptor 1,SINGLE PROTEIN,475,475
Peripheral-type benzodiazepine receptor,SINGLE PROTEIN,491,491
Cannabinoid CB2 receptor,SINGLE PROTEIN,3669,3669
Squalene synthetase,SINGLE PROTEIN,3095,3095
"N-acetyllactosaminide alpha-1,3-galactosyltransferase",SINGLE PROTEIN,820,820
Tyrosine-protein kinase LCK,SINGLE PROTEIN,821,821
Sigma opioid receptor,SINGLE PROTEIN,1786,1786
Retinoic acid receptor beta,SINGLE PROTEIN,1587,1587
Presenilin 2,SINGLE PROTEIN,2023,2023
Dopamine D1 receptor,SINGLE PROTEIN,2024,2024
Transthyretin,SINGLE PROTEIN,493,493
Cytochrome P450 2D2,SINGLE PROTEIN,824,824
Growth hormone-releasing hormone receptor,SINGLE PROTEIN,2025,2025
Synaptic vesicular amine transporter,SINGLE PROTEIN,3145,3145
Glucose-6-phosphatase,SINGLE PROTEIN,3075,3075
FK506-binding protein 1A,SINGLE PROTEIN,437,437
Adenylate kinase 3 alpha like 1,SINGLE PROTEIN,3117,3117
Ubiquinol-cytochrome C reductase complex 7.2 kDa protein,SINGLE PROTEIN,730,730
Delta opioid receptor,SINGLE PROTEIN,1544,1544
