Country or Area ID, Country or Area, Year, Series Description, Date of Last Election, Footnote for Last Election Date, Percentage of Seats Held by Women, Additional Footnotes, Data Source
15,Northern Africa,2010,"Seats held by women in national parliament, as of February (%)",,,13.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
15,Northern Africa,2015,"Seats held by women in national parliament, as of February (%)",,,24.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
15,Northern Africa,2018,"Seats held by women in national parliament, as of February (%)",,,22.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
15,Northern Africa,2019,"Seats held by women in national parliament, as of February (%)",,,22.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
15,Northern Africa,2020,"Seats held by women in national parliament, as of February (%)",,,20.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
15,Northern Africa,2021,"Seats held by women in national parliament, as of February (%)",,,24.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
15,Northern Africa,2022,"Seats held by women in national parliament, as of February (%)",,,21.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
202,Sub-Saharan Africa,2000,"Seats held by women in national parliament, as of February (%)",,,11.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
202,Sub-Saharan Africa,2005,"Seats held by women in national parliament, as of February (%)",,,14.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
202,Sub-Saharan Africa,2010,"Seats held by women in national parliament, as of February (%)",,,18.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
202,Sub-Saharan Africa,2015,"Seats held by women in national parliament, as of February (%)",,,22.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
202,Sub-Saharan Africa,2018,"Seats held by women in national parliament, as of February (%)",,,23.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
202,Sub-Saharan Africa,2019,"Seats held by women in national parliament, as of February (%)",,,23.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
202,Sub-Saharan Africa,2020,"Seats held by women in national parliament, as of February (%)",,,24.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
202,Sub-Saharan Africa,2021,"Seats held by women in national parliament, as of February (%)",,,24.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
202,Sub-Saharan Africa,2022,"Seats held by women in national parliament, as of February (%)",,,26.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
14,Eastern Africa,2000,"Seats held by women in national parliament, as of February (%)",,,11.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
14,Eastern Africa,2005,"Seats held by women in national parliament, as of February (%)",,,16.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
14,Eastern Africa,2010,"Seats held by women in national parliament, as of February (%)",,,21.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
14,Eastern Africa,2015,"Seats held by women in national parliament, as of February (%)",,,27.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
14,Eastern Africa,2018,"Seats held by women in national parliament, as of February (%)",,,30.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
14,Eastern Africa,2019,"Seats held by women in national parliament, as of February (%)",,,30.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
14,Eastern Africa,2020,"Seats held by women in national parliament, as of February (%)",,,30.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
14,Eastern Africa,2021,"Seats held by women in national parliament, as of February (%)",,,31.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
14,Eastern Africa,2022,"Seats held by women in national parliament, as of February (%)",,,31.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
17,Middle Africa,2000,"Seats held by women in national parliament, as of February (%)",,,8.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
17,Middle Africa,2005,"Seats held by women in national parliament, as of February (%)",,,11.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
17,Middle Africa,2010,"Seats held by women in national parliament, as of February (%)",,,13.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
17,Middle Africa,2015,"Seats held by women in national parliament, as of February (%)",,,18.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
17,Middle Africa,2018,"Seats held by women in national parliament, as of February (%)",,,16.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
17,Middle Africa,2019,"Seats held by women in national parliament, as of February (%)",,,17.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
17,Middle Africa,2020,"Seats held by women in national parliament, as of February (%)",,,17.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
17,Middle Africa,2021,"Seats held by women in national parliament, as of February (%)",,,18.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
17,Middle Africa,2022,"Seats held by women in national parliament, as of February (%)",,,19.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
18,Southern Africa,2000,"Seats held by women in national parliament, as of February (%)",,,22.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
18,Southern Africa,2005,"Seats held by women in national parliament, as of February (%)",,,24.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
18,Southern Africa,2010,"Seats held by women in national parliament, as of February (%)",,,33.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
18,Southern Africa,2015,"Seats held by women in national parliament, as of February (%)",,,33.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
18,Southern Africa,2018,"Seats held by women in national parliament, as of February (%)",,,33.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
18,Southern Africa,2019,"Seats held by women in national parliament, as of February (%)",,,34.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
18,Southern Africa,2020,"Seats held by women in national parliament, as of February (%)",,,35.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
18,Southern Africa,2021,"Seats held by women in national parliament, as of February (%)",,,35.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
18,Southern Africa,2022,"Seats held by women in national parliament, as of February (%)",,,36.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
11,Western Africa,2000,"Seats held by women in national parliament, as of February (%)",,,8.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
11,Western Africa,2005,"Seats held by women in national parliament, as of February (%)",,,10.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
11,Western Africa,2010,"Seats held by women in national parliament, as of February (%)",,,11.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
11,Western Africa,2015,"Seats held by women in national parliament, as of February (%)",,,14.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
11,Western Africa,2018,"Seats held by women in national parliament, as of February (%)",,,14.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
11,Western Africa,2019,"Seats held by women in national parliament, as of February (%)",,,14.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
11,Western Africa,2020,"Seats held by women in national parliament, as of February (%)",,,14.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
11,Western Africa,2021,"Seats held by women in national parliament, as of February (%)",,,15.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
11,Western Africa,2022,"Seats held by women in national parliament, as of February (%)",,,17.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
21,Northern America,2000,"Seats held by women in national parliament, as of February (%)",,,16.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
21,Northern America,2005,"Seats held by women in national parliament, as of February (%)",,,17.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
21,Northern America,2010,"Seats held by women in national parliament, as of February (%)",,,19.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
21,Northern America,2015,"Seats held by women in national parliament, as of February (%)",,,21.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
21,Northern America,2018,"Seats held by women in national parliament, as of February (%)",,,22.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
21,Northern America,2019,"Seats held by women in national parliament, as of February (%)",,,25.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
21,Northern America,2020,"Seats held by women in national parliament, as of February (%)",,,25.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
21,Northern America,2021,"Seats held by women in national parliament, as of February (%)",,,28.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
21,Northern America,2022,"Seats held by women in national parliament, as of February (%)",,,28.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
419,Latin America & the Caribbean,2000,"Seats held by women in national parliament, as of February (%)",,,15.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
419,Latin America & the Caribbean,2005,"Seats held by women in national parliament, as of February (%)",,,19.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
419,Latin America & the Caribbean,2010,"Seats held by women in national parliament, as of February (%)",,,22.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
419,Latin America & the Caribbean,2015,"Seats held by women in national parliament, as of February (%)",,,27.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
419,Latin America & the Caribbean,2018,"Seats held by women in national parliament, as of February (%)",,,29.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
419,Latin America & the Caribbean,2019,"Seats held by women in national parliament, as of February (%)",,,31.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
419,Latin America & the Caribbean,2020,"Seats held by women in national parliament, as of February (%)",,,32.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
419,Latin America & the Caribbean,2021,"Seats held by women in national parliament, as of February (%)",,,33.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
419,Latin America & the Caribbean,2022,"Seats held by women in national parliament, as of February (%)",,,34.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
29,Caribbean,2000,"Seats held by women in national parliament, as of February (%)",,,20.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
29,Caribbean,2005,"Seats held by women in national parliament, as of February (%)",,,26.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
29,Caribbean,2010,"Seats held by women in national parliament, as of February (%)",,,29.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
29,Caribbean,2015,"Seats held by women in national parliament, as of February (%)",,,33.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
29,Caribbean,2018,"Seats held by women in national parliament, as of February (%)",,,33.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
29,Caribbean,2019,"Seats held by women in national parliament, as of February (%)",,,36.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
29,Caribbean,2020,"Seats held by women in national parliament, as of February (%)",,,36.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
29,Caribbean,2021,"Seats held by women in national parliament, as of February (%)",,,40.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
29,Caribbean,2022,"Seats held by women in national parliament, as of February (%)",,,40.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
13,Central America,2000,"Seats held by women in national parliament, as of February (%)",,,14.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
13,Central America,2005,"Seats held by women in national parliament, as of February (%)",,,17.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
13,Central America,2010,"Seats held by women in national parliament, as of February (%)",,,21.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
13,Central America,2015,"Seats held by women in national parliament, as of February (%)",,,30.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
13,Central America,2018,"Seats held by women in national parliament, as of February (%)",,,32.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
13,Central America,2019,"Seats held by women in national parliament, as of February (%)",,,36.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
13,Central America,2020,"Seats held by women in national parliament, as of February (%)",,,36.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
13,Central America,2021,"Seats held by women in national parliament, as of February (%)",,,37.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
13,Central America,2022,"Seats held by women in national parliament, as of February (%)",,,38.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
5,South America,2000,"Seats held by women in national parliament, as of February (%)",,,12.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
5,South America,2005,"Seats held by women in national parliament, as of February (%)",,,15.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
5,South America,2010,"Seats held by women in national parliament, as of February (%)",,,19.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
5,South America,2015,"Seats held by women in national parliament, as of February (%)",,,22.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
5,South America,2018,"Seats held by women in national parliament, as of February (%)",,,24.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
5,South America,2019,"Seats held by women in national parliament, as of February (%)",,,26.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
5,South America,2020,"Seats held by women in national parliament, as of February (%)",,,26.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
5,South America,2021,"Seats held by women in national parliament, as of February (%)",,,26.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
5,South America,2022,"Seats held by women in national parliament, as of February (%)",,,29.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
142,Asia,2000,"Seats held by women in national parliament, as of February (%)",,,12.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
142,Asia,2005,"Seats held by women in national parliament, as of February (%)",,,13.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
142,Asia,2010,"Seats held by women in national parliament, as of February (%)",,,16.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
142,Asia,2015,"Seats held by women in national parliament, as of February (%)",,,17.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
142,Asia,2018,"Seats held by women in national parliament, as of February (%)",,,17.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
142,Asia,2019,"Seats held by women in national parliament, as of February (%)",,,18.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
142,Asia,2020,"Seats held by women in national parliament, as of February (%)",,,19.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
142,Asia,2021,"Seats held by women in national parliament, as of February (%)",,,19.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
142,Asia,2022,"Seats held by women in national parliament, as of February (%)",,,20.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
143,Central Asia,2000,"Seats held by women in national parliament, as of February (%)",,,7.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
143,Central Asia,2005,"Seats held by women in national parliament, as of February (%)",,,11.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
143,Central Asia,2010,"Seats held by women in national parliament, as of February (%)",,,20.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
143,Central Asia,2015,"Seats held by women in national parliament, as of February (%)",,,21.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
143,Central Asia,2018,"Seats held by women in national parliament, as of February (%)",,,21.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
143,Central Asia,2019,"Seats held by women in national parliament, as of February (%)",,,21.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
143,Central Asia,2020,"Seats held by women in national parliament, as of February (%)",,,25.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
143,Central Asia,2021,"Seats held by women in national parliament, as of February (%)",,,25.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
143,Central Asia,2022,"Seats held by women in national parliament, as of February (%)",,,27.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
30,Eastern Asia,2000,"Seats held by women in national parliament, as of February (%)",,,18.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
30,Eastern Asia,2005,"Seats held by women in national parliament, as of February (%)",,,18.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
30,Eastern Asia,2010,"Seats held by women in national parliament, as of February (%)",,,18.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
30,Eastern Asia,2015,"Seats held by women in national parliament, as of February (%)",,,20.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
30,Eastern Asia,2018,"Seats held by women in national parliament, as of February (%)",,,20.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
30,Eastern Asia,2019,"Seats held by women in national parliament, as of February (%)",,,21.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
30,Eastern Asia,2020,"Seats held by women in national parliament, as of February (%)",,,21.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
30,Eastern Asia,2021,"Seats held by women in national parliament, as of February (%)",,,21.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
30,Eastern Asia,2022,"Seats held by women in national parliament, as of February (%)",,,21.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
35,South-eastern Asia,2000,"Seats held by women in national parliament, as of February (%)",,,12.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
35,South-eastern Asia,2005,"Seats held by women in national parliament, as of February (%)",,,15.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
35,South-eastern Asia,2010,"Seats held by women in national parliament, as of February (%)",,,19.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
35,South-eastern Asia,2015,"Seats held by women in national parliament, as of February (%)",,,17.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
35,South-eastern Asia,2018,"Seats held by women in national parliament, as of February (%)",,,19.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
35,South-eastern Asia,2019,"Seats held by women in national parliament, as of February (%)",,,19.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
35,South-eastern Asia,2020,"Seats held by women in national parliament, as of February (%)",,,20.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
35,South-eastern Asia,2021,"Seats held by women in national parliament, as of February (%)",,,21.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
35,South-eastern Asia,2022,"Seats held by women in national parliament, as of February (%)",,,21.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
34,Southern Asia,2000,"Seats held by women in national parliament, as of February (%)",,,6.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
34,Southern Asia,2005,"Seats held by women in national parliament, as of February (%)",,,8.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
34,Southern Asia,2010,"Seats held by women in national parliament, as of February (%)",,,18.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
34,Southern Asia,2015,"Seats held by women in national parliament, as of February (%)",,,17.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
34,Southern Asia,2018,"Seats held by women in national parliament, as of February (%)",,,13.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
34,Southern Asia,2019,"Seats held by women in national parliament, as of February (%)",,,15.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
